fiscal_year,systemequipmentcode,obligatedamount,numberofactions
2001,ZBL,10653577.0000,4
2002,ZBL,4025373.0000,3
2003,ZBL,16733648.0000,2
2004,ZBL,86177207.0000,16
2005,ZBL,128796163.0000,22
2006,ZBL,372600864.9375,45
2007,ZBL,110603588.8398,57
2008,ZBL,508771429.4336,95
2009,ZBL,400247523.4766,109
2010,ZBL,766232847.1401,168
2011,ZBL,715400183.5556,174
2012,ZBL,938420769.2981,172
2013,ZBL,1081709368.0800,251
2014,ZBL,1318295661.2600,329
2015,ZBL,831914140.5400,310
2016,ZBL,654231873.2590,187
