CSIScontractID,idvpiid,piid,ILabel,CLabel,TLabel,CountOfTransactions
500957,,DAAH2303C0050,NULL,NULL,NULL,93
500957,,DAAH2303C0050,NULL,NULL,PBL-FPDSdescribed,1
1187295,,F3365799D0028,NULL,PBL-Announcement,NULL,51
1362074,,FA810606D0001,NULL,PBL-Announcement,NULL,32
25151147,,FA810613D0002,NULL,PBL-DoD-ZBLs,NULL,5
26344315,,FA820413C0009,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,12
1384249,,FA820807C0001,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,78
1399644,,FA850406D0001,NULL,PBL-DoD-ZBLs,NULL,25
1399674,,FA850407D0001,NULL,PBL-DoD-ZBLs,NULL,21
1399674,,FA850407D0001,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,1
1400661,,FA851707D0011,NULL,PBL-DoD-ZBLs,NULL,11
1400661,,FA851707D0011,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,1
1403032,,FA851912D0002,NULL,PBL-Announcement,NULL,15
27108457,,FA851914D0001,NULL,PBL-DoD-ZBLs,NULL,7
27165083,,FA851914D0007,NULL,PBL-Announcement,NULL,5
27032530,,FA852214D0003,NULL,PBL-DoD-ZBLs,NULL,2
1404134,,FA852312D0004,NULL,PBL-DoD-ZBLs,NULL,7
25153884,,FA852313D0002,NULL,PBL-DoD-ZBLs,NULL,7
1404918,,FA852612D0001,NULL,PBL-DoD-ZBLs,NULL,18
1406635,,FA853509D0003,NULL,PBL-Announcement,NULL,5
1407301,,FA854010C0007,NULL,PBL-GoviniSolicitation,NULL,18
1415904,,FA861404C2004,NULL,NULL,NULL,856
1415904,,FA861404C2004,NULL,NULL,PBL-FPDSdescribed,2
1415946,,FA861707D6172,NULL,PBL-DoD-ZBLs,NULL,7
1415959,,FA861712C6194,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,12
1415961,,FA861712C6208,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,51
1416386,,FA862011G4025,NULL,PBL-DoD-ZBLs,NULL,4
1429883,,FA877104D0007,NULL,PBL-DoD-ZBLs,NULL,36
