CSIScontractID,idvpiid,piid,ILabel,CLabel,TLabel,CountOfTransactions
1431299,,FA880810C0002,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,68
25156028,,FA880813C0002,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,35
25156031,,FA881013C0002,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,46
2349140,,HQ014712C0004,NULL,NULL,NULL,142
2349140,,HQ014712C0004,NULL,NULL,PBL-FPDSdescribed,30
2447452,,HSCG3810DH00003,NULL,PBL-GoviniDescribed,NULL,9
2565147,,HSTS0409CCT3173,NULL,PBL-GoviniSolicitation,NULL,78
2565227,,HSTS0411DCT3072,NULL,PBL-GoviniSolicitation,NULL,9
2565228,,HSTS0411DCT3083,NULL,PBL-GoviniSolicitation,NULL,8
2932616,,M6785407C2072,NULL,PBL-Announcement,NULL,134
2933670,,M6785409D7005,NULL,PBL-GoviniSolicitation,NULL,40
2960744,,N0001903C0041,NULL,PBL-Announcement,NULL,34
2960782,,N0001903C0361,NULL,PBL-Announcement,NULL,32
2960785,,N0001903C3017,NULL,PBL-Announcement,NULL,64
2961440,,N0001909C0073,NULL,PBL-GoviniDescribed,NULL,33
2961440,,N0001909C0073,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,2
2961466,,N0001909D0008,NULL,PBL-DoD-ZBLs,NULL,22
2961466,,N0001909D0008,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,2
2961476,,N0001909D0020,NULL,PBL-DoD-ZBLs,NULL,17
2961528,,N0001910C0020,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,71
2961596,,N0001910G0004,NULL,PBL-Announcement,NULL,15
2961665,,N0001911C0083,NULL,PBL-GoviniSolicitation,NULL,98
2961721,,N0001912C0004,NULL,PBL-GoviniSolicitation,NULL,38
25224499,,N0001913C0008,NULL,PBL-GoviniSolicitation,NULL,11
27250804,,N0001914D0028,NULL,PBL-GoviniDescribed,NULL,2
2974548,,N0010401DZD52,NULL,PBL-DoD-ZBLs,NULL,5
2981621,,N0010404DZD51,NULL,PBL-Announcement,NULL,15
2992231,,N0010406DL007,NULL,PBL-Announcement,NULL,6
2992248,,N0010406DZD31,NULL,NULL,NULL,2
2992248,,N0010406DZD31,NULL,NULL,PBL-FPDSdescribed,1
2999186,,N0010407DL001,NULL,NULL,NULL,10
2999186,,N0010407DL001,NULL,NULL,PBL-FPDSdescribed,12
2999194,,N0010407DZD51,NULL,PBL-Announcement,NULL,14
2999194,,N0010407DZD51,NULL,PBL-Announcement,PBL-FPDSdescribed,1
3014670,,N0010409DZD41,NULL,PBL-DoD-ZBLs,NULL,17
3022987,,N0010410PDG76,NULL,NULL,NULL,3
3022987,,N0010410PDG76,NULL,NULL,PBL-FPDSdescribed,1
3025056,,N0010411DZD42,NULL,PBL-DoD-ZBLs,NULL,20
3025057,,N0010411DZD43,NULL,PBL-DoD-ZBLs,NULL,6
3030341,,N0010412DZD21,NULL,PBL-DoD-ZBLs,NULL,4
25225429,,N0010413DZD00,NULL,PBL-DoD-ZBLs,NULL,5
27099424,,N0010414DZD00,NULL,PBL-DoD-ZBLs,NULL,1
3157486,,N0018909CZ003,NULL,PBL-Announcement,NULL,62
3236689,,N0038300D007J,NULL,PBL-GoviniSolicitation,NULL,1
3236725,,N0038300D042G,NULL,PBL-DoD-ZBLs,NULL,2
3237928,,N0038301D001H,NULL,PBL-GoviniSolicitation,NULL,1
3237936,,N0038301D003G,NULL,PBL-GoviniSolicitation,NULL,1
3241263,,N0038303D006A,NULL,PBL-GoviniSolicitation,NULL,1
3241278,,N0038303D011M,NULL,PBL-GoviniSolicitation,NULL,3
3241289,,N0038303D100H,NULL,PBL-DoD-ZBLs,NULL,2
3243307,,N0038304D001J,NULL,PBL-DoD-ZBLs,NULL,4
3243336,,N0038304D014M,NULL,PBL-GoviniSolicitation,NULL,1
3243338,,N0038304D028N,NULL,PBL-GoviniSolicitation,NULL,4
3245430,,N0038305D001B,NULL,PBL-GoviniSolicitation,NULL,2
3245433,,N0038305D001M,NULL,PBL-GoviniSolicitation,NULL,1
3245445,,N0038305D007G,NULL,PBL-GoviniSolicitation,NULL,1
3248988,,N0038306D001J,NULL,PBL-DoD-ZBLs,NULL,90
3248994,,N0038306D003F,NULL,PBL-DoD-ZBLs,NULL,2
3249001,,N0038306D005N,NULL,PBL-Announcement,NULL,1
3249004,,N0038306D007G,NULL,PBL-DoD-ZBLs,NULL,4
3249007,,N0038306D035D,NULL,PBL-DoD-ZBLs,NULL,9
3252038,,N0038307D001J,NULL,PBL-DoD-ZBLs,NULL,9
3252039,,N0038307D001M,NULL,PBL-GoviniSolicitation,NULL,1
3252044,,N0038307D003H,NULL,PBL-DoD-ZBLs,NULL,3
3252056,,N0038307D013G,NULL,PBL-GoviniSolicitation,NULL,1
3255313,,N0038308D002M,NULL,PBL-GoviniSolicitation,NULL,1
3255321,,N0038308D018G,NULL,PBL-GoviniSolicitation,NULL,7
3258041,,N0038309D010F,NULL,PBL-Announcement,NULL,7
3260171,,N0038310D001M,NULL,PBL-GoviniSolicitation,NULL,2
3260171,,N0038310D001M,NULL,PBL-GoviniSolicitation,PBL-FPDSdescribed,1
3260180,,N0038310D007D,NULL,PBL-GoviniSolicitation,NULL,8
3260183,,N0038310D027G,NULL,PBL-DoD-ZBLs,NULL,3
3262175,,N0038311D001M,NULL,PBL-GoviniSolicitation,NULL,1
3262177,,N0038311D002M,NULL,PBL-DoD-ZBLs,NULL,8
3262179,,N0038311D003F,NULL,PBL-DoD-ZBLs,NULL,24
28400037,,N0038312D003D,NULL,PBL-DoD-ZBLs,NULL,2
3264129,,N0038312D003M,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,1
3264173,,N0038312G045G,NULL,NULL,NULL,8
3264173,,N0038312G045G,NULL,NULL,PBL-FPDSdescribed,2
25244600,,N0038313D001D,NULL,PBL-DoD-ZBLs,NULL,9
25244601,,N0038313D001M,NULL,PBL-DoD-ZBLs,NULL,7
26350418,,N0038313D005H,NULL,PBL-DoD-ZBLs,NULL,6
25244609,,N0038313D008F,NULL,PBL-DoD-ZBLs,NULL,6
25244615,,N0038313D046G,NULL,PBL-DoD-ZBLs,NULL,6
25244618,,N0038313D051G,NULL,PBL-DoD-ZBLs,NULL,3
27119379,,N0038314D001M,NULL,PBL-DoD-ZBLs,NULL,3
3265778,,N0038399D009D,NULL,PBL-DoD-ZBLs,NULL,5
3265784,,N0038399D020G,NULL,PBL-GoviniSolicitation,NULL,1
3451326,,N6247306D3033,NULL,PBL-Announcement,NULL,13
3459330,,N6258311D0572,NULL,PBL-Announcement,NULL,3
3489232,,N6339406P0494,NULL,NULL,NULL,1
3489232,,N6339406P0494,NULL,NULL,PBL-FPDSdescribed,1
3489285,,N6339406P0551,NULL,NULL,PBL-FPDSdescribed,1
3489311,,N6339406P0577,NULL,NULL,PBL-FPDSdescribed,1
3489330,,N6339406P0596,NULL,NULL,PBL-FPDSdescribed,2
3489352,,N6339406P0619,NULL,NULL,NULL,1
3489352,,N6339406P0619,NULL,NULL,PBL-FPDSdescribed,1
3489789,,N6339407P0334,NULL,NULL,PBL-FPDSdescribed,1
3489868,,N6339407P0416,NULL,NULL,PBL-FPDSdescribed,1
3490390,,N6339408P0194,NULL,NULL,PBL-FPDSdescribed,2
3490517,,N6339408P0324,NULL,NULL,PBL-FPDSdescribed,1
3490557,,N6339408P0366,NULL,NULL,PBL-FPDSdescribed,1
3490610,,N6339408P0420,NULL,NULL,PBL-FPDSdescribed,2
3490641,,N6339408P0454,NULL,NULL,PBL-FPDSdescribed,5
3490699,,N6339408P0514,NULL,NULL,PBL-FPDSdescribed,1
3490712,,N6339408P0528,NULL,NULL,PBL-FPDSdescribed,2
3491128,,N6339409P0283,NULL,NULL,PBL-FPDSdescribed,1
3491321,,N6339409P0488,NULL,NULL,PBL-FPDSdescribed,1
3491414,,N6339409P0587,NULL,NULL,PBL-FPDSdescribed,1
3491947,,N6339410P0472,NULL,NULL,PBL-FPDSdescribed,1
3491971,,N6339410P0496,NULL,NULL,PBL-FPDSdescribed,1
3492032,,N6339410P0557,NULL,NULL,PBL-FPDSdescribed,1
3492210,,N6339411P0087,NULL,NULL,NULL,2
3492210,,N6339411P0087,NULL,NULL,PBL-FPDSdescribed,1
3522419,,N6523611C3253,NULL,NULL,PBL-FPDSdescribed,1
3524433,,N6523612D4139,NULL,PBL-Announcement,NULL,5
3524434,,N6523612D4140,NULL,PBL-Announcement,NULL,7
3524435,,N6523612D4141,NULL,PBL-Announcement,NULL,6
3524436,,N6523612D4142,NULL,PBL-Announcement,NULL,6
3524437,,N6523612D4143,NULL,PBL-Announcement,NULL,5
3524438,,N6523612D4144,NULL,PBL-Announcement,NULL,8
3524439,,N6523612D4145,NULL,PBL-Announcement,NULL,6
28402195,,N6523614D2813,NULL,PBL-Announcement,NULL,3
27242671,,N6523614D4986,NULL,PBL-Announcement,NULL,1
27131621,,N6523614D4987,NULL,PBL-Announcement,NULL,1
27242672,,N6523614D4988,NULL,PBL-Announcement,NULL,1
27131622,,N6523614D4989,NULL,PBL-Announcement,NULL,1
27131623,,N6523614D4990,NULL,PBL-Announcement,NULL,2
27242673,,N6523614D4991,NULL,PBL-Announcement,NULL,1
3573954,,N6833501C0009,NULL,PBL-GoviniSolicitation,NULL,3
3574681,,N6833503C0011,NULL,PBL-Announcement,NULL,5
3574875,,N6833503C0246,NULL,PBL-GoviniSolicitation,NULL,4
3574901,,N6833503D0005,NULL,NULL,NULL,6
3574901,,N6833503D0005,NULL,NULL,PBL-FPDSdescribed,1
3576161,,N6833505H0002,NULL,NULL,NULL,9
3576161,,N6833505H0002,NULL,NULL,PBL-FPDSdescribed,1
3576971,,N6833506C0116,NULL,NULL,NULL,14
3576971,,N6833506C0116,NULL,NULL,PBL-FPDSdescribed,1
3580087,,N6833509C0100,NULL,PBL-GoviniDescribed,NULL,19
3580087,,N6833509C0100,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,1
3580448,,N6833509D0006,NULL,PBL-DoD-ZBLs,NULL,15
3580448,,N6833509D0006,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,4
3996150,,SP040005D9416,NULL,PBL-Announcement,NULL,1
4217124,,SP075006D9711,NULL,PBL-DLA-PBLLike,NULL,1
27335511,,SPE4AX14D9417,NULL,PBL-DLA-PBLLike,NULL,1
27342312,,SPE7L114D0005,NULL,PBL-DLA-PBLLike,NULL,1
4779867,,SPM7L107D7001,NULL,PBL-DLA-PBLLike,NULL,1
4779868,,SPM7L107D7002,NULL,PBL-DLA-PBLLike,NULL,1
4894556,,SPM7LX09D9001,NULL,PBL-DLA-PBLLike,NULL,1
27485877,,SPRPA114D002U,NULL,PBL-DoD-ZBLs,NULL,1
7879214,,W15P7T08CP427,NULL,NULL,NULL,109
7879214,,W15P7T08CP427,NULL,NULL,PBL-FPDSdescribed,1
25550832,,W15QKN13D0028,NULL,PBL-DoD-ZBLs,NULL,29
7928368,,W31P4Q04C0046,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,261
7929923,,W31P4Q05C0152,NULL,NULL,NULL,55
7929923,,W31P4Q05C0152,NULL,NULL,PBL-FPDSdescribed,1
7931393,,W31P4Q06C0256,NULL,PBL-Announcement,NULL,68
7931393,,W31P4Q06C0256,NULL,PBL-Announcement,PBL-FPDSdescribed,4
7931406,,W31P4Q06C0274,NULL,NULL,NULL,204
7931406,,W31P4Q06C0274,NULL,NULL,PBL-FPDSdescribed,1
7931453,,W31P4Q06C0333,NULL,PBL-GoviniDescribed,NULL,56
7931453,,W31P4Q06C0333,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,2
7931609,,W31P4Q06D0022,NULL,NULL,NULL,16
7931609,,W31P4Q06D0022,NULL,NULL,PBL-FPDSdescribed,5
7932335,,W31P4Q07C0088,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,253
7933244,,W31P4Q08C0003,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,165
7933351,,W31P4Q08C0120,NULL,PBL-Announcement,NULL,80
7933351,,W31P4Q08C0120,NULL,PBL-Announcement,PBL-FPDSdescribed,6
7934944,,W31P4Q09D0025,NULL,PBL-GoviniSolicitation,NULL,5
7934944,,W31P4Q09D0025,NULL,PBL-GoviniSolicitation,PBL-FPDSdescribed,5
7936327,,W31P4Q11C0183,NULL,PBL-GoviniDescribed,NULL,73
7936327,,W31P4Q11C0183,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,2
25553709,,W31P4Q13C0091,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,35
25553791,,W31P4Q13D0001,NULL,PerformanceBasedLogistics,NULL,9
25553791,,W31P4Q13D0001,NULL,PerformanceBasedLogistics,PBL-FPDSdescribed,1
7952480,,W52H0909P5029,NULL,NULL,PBL-FPDSdescribed,1
7982487,,W58RGZ04C0203,NULL,PBL-Announcement,NULL,175
7982487,,W58RGZ04C0203,NULL,PBL-Announcement,PBL-FPDSdescribed,13
7983760,,W58RGZ05C0124,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,320
7983869,,W58RGZ05C0302,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,203
7985038,,W58RGZ06C0093,NULL,NULL,NULL,93
7985038,,W58RGZ06C0093,NULL,NULL,PBL-FPDSdescribed,3
7985117,,W58RGZ06C0194,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,832
7985958,,W58RGZ07C0045,NULL,NULL,NULL,16
7985958,,W58RGZ07C0045,NULL,NULL,PBL-FPDSdescribed,1
7985967,,W58RGZ07C0058,NULL,PBL-GoviniDescribed,NULL,72
7985967,,W58RGZ07C0058,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,2
7986917,,W58RGZ08C0016,NULL,PBL-GoviniDescribed,NULL,86
7986917,,W58RGZ08C0016,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,1
7987960,,W58RGZ09C0153,NULL,NULL,NULL,56
7987960,,W58RGZ09C0153,NULL,NULL,PBL-FPDSdescribed,1
7987991,,W58RGZ09C0207,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,122
7988598,,W58RGZ10C0006,NULL,PBL-Announcement,NULL,55
7988598,,W58RGZ10C0006,NULL,PBL-Announcement,PBL-FPDSdescribed,10
7988610,,W58RGZ10C0028,NULL,NULL,NULL,20
7988610,,W58RGZ10C0028,NULL,NULL,PBL-FPDSdescribed,3
7988656,,W58RGZ10C0107,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,133
7989160,,W58RGZ11C0025,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,63
7989170,,W58RGZ11C0039,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,31
7989208,,W58RGZ11C0103,NULL,PBL-GoviniDescribed,NULL,58
7989678,,W58RGZ12C0009,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,20
7989680,,W58RGZ12C0011,NULL,PBL-GoviniDescribed,NULL,18
7989680,,W58RGZ12C0011,NULL,PBL-GoviniDescribed,PBL-FPDSdescribed,5
7989721,,W58RGZ12C0075,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,86
7989884,,W58RGZ12D0196,NULL,PBL-DoD-ZBLs,NULL,8
7989884,,W58RGZ12D0196,NULL,PBL-DoD-ZBLs,PBL-FPDSdescribed,1
25557103,,W58RGZ13C0020,NULL,PBL-GoviniDescribed,NULL,9
25557125,,W58RGZ13C0049,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,20
27550439,,W58RGZ14C0001,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,21
27469268,,W58RGZ14C0003,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,46
8026468,,W9098S08P0592,NULL,NULL,PBL-FPDSdescribed,1
8130005,,W911SE07D0011,NULL,PBL-DoD-ZBLs,NULL,9
8631723,,W91QUZ06D0017,NULL,PBL-DoD-ZBLs,NULL,13
9886775,F3365799D0028,3,PBL-Announcement,NULL,NULL,3
9886776,F3365799D0028,4,PBL-Announcement,NULL,NULL,13
9886777,F3365799D0028,5,PBL-Announcement,NULL,NULL,71
9886778,F3365799D0028,6,PBL-Announcement,NULL,NULL,7
9886779,F3365799D0028,8,PBL-Announcement,NULL,NULL,29
9886780,F3365799D0028,10,PBL-Announcement,NULL,NULL,17
9886781,F3365799D0028,11,PBL-Announcement,NULL,NULL,14
9886782,F3365799D0028,12,PBL-Announcement,NULL,NULL,23
9886783,F3365799D0028,13,PBL-Announcement,NULL,NULL,11
9886784,F3365799D0028,15,PBL-Announcement,NULL,NULL,33
9886785,F3365799D0028,16,PBL-Announcement,NULL,NULL,36
9886786,F3365799D0028,17,PBL-Announcement,NULL,NULL,49
9886787,F3365799D0028,18,PBL-Announcement,NULL,NULL,21
9886788,F3365799D0028,19,PBL-Announcement,NULL,NULL,5
9886789,F3365799D0028,20,PBL-Announcement,NULL,NULL,19
9886790,F3365799D0028,21,PBL-Announcement,NULL,NULL,4
9886791,F3365799D0028,22,PBL-Announcement,NULL,NULL,15
9886792,F3365799D0028,23,PBL-Announcement,NULL,NULL,140
9886793,F3365799D0028,24,PBL-Announcement,NULL,NULL,24
9886794,F3365799D0028,25,PBL-Announcement,NULL,NULL,9
9886795,F3365799D0028,26,PBL-Announcement,NULL,NULL,104
9886796,F3365799D0028,27,PBL-Announcement,NULL,NULL,20
9886797,F3365799D0028,28,PBL-Announcement,NULL,NULL,48
9886798,F3365799D0028,29,PBL-Announcement,NULL,NULL,11
9886799,F3365799D0028,31,PBL-Announcement,NULL,NULL,30
9886800,F3365799D0028,32,PBL-Announcement,NULL,NULL,30
9886801,F3365799D0028,33,PBL-Announcement,NULL,NULL,36
9886802,F3365799D0028,35,PBL-Announcement,NULL,NULL,20
9886803,F3365799D0028,36,PBL-Announcement,NULL,NULL,13
9886804,F3365799D0028,37,PBL-Announcement,NULL,NULL,14
9886805,F3365799D0028,38,PBL-Announcement,NULL,NULL,48
9886806,F3365799D0028,39,PBL-Announcement,NULL,NULL,98
9886807,F3365799D0028,40,PBL-Announcement,NULL,NULL,22
9886808,F3365799D0028,41,PBL-Announcement,NULL,NULL,71
9886809,F3365799D0028,42,PBL-Announcement,NULL,NULL,14
9886810,F3365799D0028,43,PBL-Announcement,NULL,NULL,3
9886811,F3365799D0028,44,PBL-Announcement,NULL,NULL,30
9886812,F3365799D0028,45,PBL-Announcement,NULL,NULL,27
9886813,F3365799D0028,46,PBL-Announcement,NULL,NULL,21
9886814,F3365799D0028,47,PBL-Announcement,NULL,NULL,24
9886815,F3365799D0028,48,PBL-Announcement,NULL,NULL,2
9886816,F3365799D0028,49,PBL-Announcement,NULL,NULL,6
9886817,F3365799D0028,50,PBL-Announcement,NULL,NULL,41
9886818,F3365799D0028,51,PBL-Announcement,NULL,NULL,25
9886819,F3365799D0028,52,PBL-Announcement,NULL,NULL,45
9886820,F3365799D0028,53,PBL-Announcement,NULL,NULL,30
9886821,F3365799D0028,54,PBL-Announcement,NULL,NULL,12
9886822,F3365799D0028,55,PBL-Announcement,NULL,NULL,22
9886823,F3365799D0028,56,PBL-Announcement,NULL,NULL,35
9886824,F3365799D0028,57,PBL-Announcement,NULL,NULL,51
9886825,F3365799D0028,58,PBL-Announcement,NULL,NULL,24
9886826,F3365799D0028,59,PBL-Announcement,NULL,NULL,4
9886827,F3365799D0028,60,PBL-Announcement,NULL,NULL,23
9886828,F3365799D0028,61,PBL-Announcement,NULL,NULL,19
9886829,F3365799D0028,62,PBL-Announcement,NULL,NULL,26
9886830,F3365799D0028,63,PBL-Announcement,NULL,NULL,14
9886831,F3365799D0028,64,PBL-Announcement,NULL,NULL,43
9886832,F3365799D0028,65,PBL-Announcement,NULL,NULL,5
9886833,F3365799D0028,66,PBL-Announcement,NULL,NULL,43
9886834,F3365799D0028,68,PBL-Announcement,NULL,NULL,28
9886835,F3365799D0028,72,PBL-Announcement,NULL,NULL,44
25654322,F3365799D0028,73,PBL-Announcement,NULL,NULL,19
25654323,F3365799D0028,74,PBL-Announcement,NULL,NULL,46
27588540,F3365799D0028,76,PBL-Announcement,NULL,NULL,21
9886836,F3365799D0028,1,PBL-Announcement,NULL,NULL,1
9886837,F3365799D0028,10,PBL-Announcement,NULL,NULL,2
9886838,F3365799D0028,11,PBL-Announcement,NULL,NULL,27
9886839,F3365799D0028,12,PBL-Announcement,NULL,NULL,5
9886840,F3365799D0028,13,PBL-Announcement,NULL,NULL,2
9886841,F3365799D0028,176,PBL-Announcement,NULL,NULL,1
9886842,F3365799D0028,2,PBL-Announcement,NULL,NULL,2
9886843,F3365799D0028,3,PBL-Announcement,NULL,NULL,7
9886844,F3365799D0028,4,PBL-Announcement,NULL,NULL,7
9886845,F3365799D0028,5,PBL-Announcement,NULL,NULL,6
9886846,F3365799D0028,6,PBL-Announcement,NULL,NULL,20
9886847,F3365799D0028,7,PBL-Announcement,NULL,NULL,2
9886848,F3365799D0028,8,PBL-Announcement,NULL,NULL,10
9886849,F3365799D0028,9,PBL-Announcement,NULL,NULL,1
9886850,F3365799D0028,BZ01,PBL-Announcement,NULL,NULL,42
9886851,F3365799D0028,SD01,PBL-Announcement,NULL,NULL,9
9886852,F3365799D0028,SD02,PBL-Announcement,NULL,NULL,19
9886853,F3365799D0028,SD03,PBL-Announcement,NULL,NULL,4
9886854,F3365799D0028,SD04,PBL-Announcement,NULL,NULL,18
9886855,F3365799D0028,SD05,PBL-Announcement,NULL,NULL,24
9886856,F3365799D0028,SD06,PBL-Announcement,NULL,NULL,3
9886857,F3365799D0028,SD07,PBL-Announcement,NULL,NULL,17
9886858,F3365799D0028,SD08,PBL-Announcement,NULL,NULL,3
9886859,F3365799D0028,SD09,PBL-Announcement,NULL,NULL,18
9886860,F3365799D0028,SD10,PBL-Announcement,NULL,NULL,25
9886861,F3365799D0028,SD11,PBL-Announcement,NULL,NULL,6
9886862,F3365799D0028,SD12,PBL-Announcement,NULL,NULL,10
9886863,F3365799D0028,SD13,PBL-Announcement,NULL,NULL,5
9886864,F3365799D0028,SD14,PBL-Announcement,NULL,NULL,2
9886865,F3365799D0028,SD15,PBL-Announcement,NULL,NULL,1
9886866,F3365799D0028,SD16,PBL-Announcement,NULL,NULL,12
9886867,F3365799D0028,SD17,PBL-Announcement,NULL,NULL,4
9886868,F3365799D0028,SD18,PBL-Announcement,NULL,NULL,4
9886869,F3365799D0028,SD19,PBL-Announcement,NULL,NULL,12
9886870,F3365799D0028,SD1A,PBL-Announcement,NULL,NULL,23
9886871,F3365799D0028,SD1B,PBL-Announcement,NULL,NULL,12
9886871,F3365799D0028,SD1B,PBL-Announcement,NULL,PBL-FPDSdescribed,4
9886872,F3365799D0028,SD1C,PBL-Announcement,NULL,NULL,3
25654324,F3365799D0028,SD1D,PBL-Announcement,NULL,NULL,29
25654325,F3365799D0028,SD1E,PBL-Announcement,NULL,NULL,18
25654326,F3365799D0028,SD1F,PBL-Announcement,NULL,NULL,9
25654327,F3365799D0028,SD1G,PBL-Announcement,NULL,NULL,16
25654328,F3365799D0028,SD1H,PBL-Announcement,NULL,NULL,8
9886873,F3365799D0028,SD1J,PBL-Announcement,NULL,NULL,9
9886874,F3365799D0028,SD1K,PBL-Announcement,NULL,NULL,12
25654329,F3365799D0028,SD1L,PBL-Announcement,NULL,NULL,6
27588541,F3365799D0028,SD1M,PBL-Announcement,NULL,NULL,1
25654330,F3365799D0028,SD1P,PBL-Announcement,NULL,NULL,7
25654331,F3365799D0028,SD1Q,PBL-Announcement,NULL,NULL,4
27619708,F3365799D0028,SD1R,PBL-Announcement,NULL,NULL,3
27588542,F3365799D0028,SD1S,PBL-Announcement,NULL,NULL,12
28455632,F3365799D0028,SD1T,PBL-Announcement,NULL,NULL,11
27576459,F3365799D0028,SD1U,PBL-Announcement,NULL,NULL,12
27588543,F3365799D0028,SD1V,PBL-Announcement,NULL,NULL,4
28455633,F3365799D0028,SD1W,PBL-Announcement,NULL,NULL,10
27668440,F3365799D0028,SD1Y,PBL-Announcement,NULL,NULL,10
9886875,F3365799D0028,SD20,PBL-Announcement,NULL,NULL,17
9886876,F3365799D0028,SD21,PBL-Announcement,NULL,NULL,17
9886877,F3365799D0028,SD22,PBL-Announcement,NULL,NULL,10
9886878,F3365799D0028,SD23,PBL-Announcement,NULL,NULL,12
9886879,F3365799D0028,SD24,PBL-Announcement,NULL,NULL,6
9886880,F3365799D0028,SD25,PBL-Announcement,NULL,NULL,13
9886881,F3365799D0028,SD27,PBL-Announcement,NULL,NULL,13
9886882,F3365799D0028,SD28,PBL-Announcement,NULL,NULL,11
9886883,F3365799D0028,SD29,PBL-Announcement,NULL,NULL,13
9886884,F3365799D0028,SD30,PBL-Announcement,NULL,NULL,49
9886885,F3365799D0028,SD31,PBL-Announcement,NULL,NULL,11
9886886,F3365799D0028,SD33,PBL-Announcement,NULL,NULL,16
9886887,F3365799D0028,SD34,PBL-Announcement,NULL,NULL,6
9886888,F3365799D0028,SD35,PBL-Announcement,NULL,NULL,14
9886889,F3365799D0028,SD36,PBL-Announcement,NULL,NULL,11
9886890,F3365799D0028,SD37,PBL-Announcement,NULL,NULL,21
9886891,F3365799D0028,SD38,PBL-Announcement,NULL,NULL,11
9886892,F3365799D0028,SD39,PBL-Announcement,NULL,NULL,21
9886893,F3365799D0028,SD40,PBL-Announcement,NULL,NULL,29
9886894,F3365799D0028,SD41,PBL-Announcement,NULL,NULL,28
9886895,F3365799D0028,SD42,PBL-Announcement,NULL,NULL,2
