"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"1",2000-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",86971,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000118407495952146,0.000118102933188485,4.93937446365848,TRUE,0,3.85091869608588e-08,6.70238840086407e-08,0,"No history [0-3]",5.44665358451616e-08
"2",2000-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",56895,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.734505863,0.749316473,0.766675409,0.877,0.7364,7.74602394154068e-05,7.72609994568169e-05,4.75507410175847,TRUE,0,2.51920777286459e-08,4.38459242813307e-08,0,"No history [0-3]",3.56311133241019e-08
"3",2000-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",75000,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000102109464032964,0.000101846822379142,4.8750612633917,TRUE,0,3.3208644514429e-08,5.77984765111135e-08,0,"No history [0-3]",4.69695667335908e-08
"4",2000-09-30,"Other","DLA","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",168366,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000229223493618321,0.000228633894622488,5.22625439415166,TRUE,0,7.45494218975514e-08,1.29750643950268e-07,0,"No history [0-3]",1.05441040968903e-07
"5",2001-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",204237,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000271195482820743,0.000270154761904762,5.3101344225707,TRUE,0,8.80879073337963e-08,1.53313901166107e-07,0,"No history [0-3]",1.24589573059491e-07
"6",2001-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",90024,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000119538096160121,0.000119079365079365,4.95435830586233,TRUE,0,3.88275668454672e-08,6.75780129877429e-08,0,"No history [0-3]",5.49168452587316e-08
"7",2001-09-30,"Other","Army","Defense","9420","FIBERS VEGETABLE ANIMAL & SYNTHETIC",-2,0,0,0,0,"Not PBL","Not PBL",93139,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000123674339490108,0.000123199735449735,4.96913157075783,TRUE,0,4.01710738072066e-08,6.99163395501798e-08,0,"No history [0-3]",5.68170715648383e-08
"8",2001-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",53754,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.753098827,0.768284347,0.7860827,0.8992,0.756,7.13770863435431e-05,7.11031746031746e-05,4.73041078697446,TRUE,0,2.31842289635124e-08,4.03513342013589e-08,0,"No history [0-3]",3.27912567763914e-08
"9",2002-09-30,"Fuels","Air Force","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",91519,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,0.000119581621824991,0.000119072339318241,4.96151126607248,TRUE,0,3.88252759933997e-08,6.75740258403797e-08,0,"No history [0-3]",5.49136051286199e-08
"10",2001-09-30,"Fuels","DLA","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",473799,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000629132569343386,0.000626718253968254,5.67559413976594,TRUE,0,2.04350643648533e-07,3.55665100146401e-07,0,"No history [0-3]",2.89028996342551e-07
"11",2002-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",29660,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,3.87546946899468e-05,3.85896435076763e-05,4.47217114669236,TRUE,0,1.25827170966055e-08,2.18997760730085e-08,0,"No history [0-3]",1.77967146506722e-08
"12",2002-09-30,"Clothing & Subsistence","Army","Defense","8945","FOOD, OILS AND FATS",-2,0,0,0,0,"Not PBL","Not PBL",9374,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,1.22483650715968e-05,1.21962008847255e-05,3.97192494918419,TRUE,0,3.97674949641199e-09,6.92139247836754e-09,0,"No history [0-3]",5.62462586430887e-09
"13",2002-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",18729390,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,0.0244724137282179,0.0243681889149102,7.27252363301069,TRUE,0,7.94560403782843e-06,1.38290440655443e-05,0,"No history [0-3]",1.12380852802142e-05
"14",2002-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",201446,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,0.000263215719032739,0.000262094717668488,5.30415864826858,TRUE,0,8.54598121457445e-08,1.48739794025734e-07,0,"No history [0-3]",1.20872453793638e-07
"15",2002-09-30,"Fuels","DLA","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",42806,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.765326633,0.780758715,0.798846053,0.9138,0.7686,5.59316743391054e-05,5.56934686442883e-05,4.63150464715012,TRUE,0,1.81596691853437e-08,3.16062648206743e-08,0,"No history [0-3]",2.56846314004273e-08
"16",2003-09-30,"Other","Army","Defense","5530","PLYWOOD AND VENEER",-2,0,0,0,0,"Not PBL","Not PBL",22845,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,2.90860844410652e-05,2.89067442743262e-05,4.35879116239172,TRUE,0,9.42546632532155e-09,1.6404692271426e-08,0,"No history [0-3]",1.33311695203352e-08
"17",2003-09-30,"Other","Army","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",20831,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,2.65218745892681e-05,2.63583449323042e-05,4.31871011891834,TRUE,0,8.59452348534792e-09,1.4958465515696e-08,0,"No history [0-3]",1.21559024853623e-08
"18",2003-09-30,"Clothing & Subsistence","Army","Defense","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",26596,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,3.3861829800594e-05,3.36530431481716e-05,4.42481632427935,TRUE,0,1.09730664210222e-08,1.90982357474654e-08,0,"No history [0-3]",1.55200606068214e-08
"19",2003-09-30,"Clothing & Subsistence","Army","Defense","8945","FOOD, OILS AND FATS",-2,0,0,0,0,"Not PBL","Not PBL",26381,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,3.35880933963555e-05,3.33809945590282e-05,4.42129125391886,TRUE,0,1.08843610036466e-08,1.8943847091814e-08,0,"No history [0-3]",1.53945976413203e-08
"20",2003-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",41689,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,5.30781253781382e-05,5.27508541060357e-05,4.62002147776744,TRUE,0,1.72001867207849e-08,2.99363193741948e-08,0,"No history [0-3]",2.43275607849969e-08
"21",2003-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",183648,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,0.000233819270537656,0.000232377578134886,5.26398620306686,TRUE,0,7.57701046055002e-08,1.31875199223587e-07,0,"No history [0-3]",1.07167547387635e-07
"22",2003-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",119888,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,0.000152640511773711,0.00015169935467544,5.07877571525403,TRUE,0,4.94637910619457e-08,8.60899867383115e-08,0,"No history [0-3]",6.99604837581066e-08
"23",2003-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",137190,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.785427136,0.801264525,0.819826908,0.9378,0.7903,0.000174669289755734,0.000173592306718967,5.13732245610034,TRUE,0,5.66023079523249e-08,9.85143240410128e-08,0,"No history [0-3]",8.00570429632211e-08
"24",2004-09-30,"Other","Army","Defense","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,0,"Not PBL","Not PBL",4800,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,5.94214618770253e-06,5.91861898890259e-06,3.68124123737559,TRUE,0,1.92985219791274e-09,3.35883980095952e-09,0,"No history [0-3]",2.72953994121756e-09
"25",2005-09-30,"Fuels","Air Force","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",12505,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,1.49309700004181e-05,1.49028721248957e-05,4.09708369606652,TRUE,0,4.8592992012779e-09,8.45743916538059e-09,0,"No history [0-3]",6.87288449890623e-09
"26",2005-09-30,"Clothing & Subsistence","Air Force","Defense","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",65708,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,7.84553520021967e-05,7.83077106423549e-05,4.81761824846912,TRUE,0,2.55333732041238e-08,4.44399370394904e-08,0,"No history [0-3]",3.61138340387149e-08
"27",2005-09-30,"Fuels","Air Force","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",8000,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,9.55200000026746e-06,9.53402455011322e-06,3.90308998699194,TRUE,0,3.10870800561561e-09,5.41059682711273e-09,0,"No history [0-3]",4.39688732437024e-09
"28",2005-09-30,"Fuels","Air Force","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",26004,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,3.10487760008694e-05,3.0990346800143e-05,4.41504015736744,TRUE,0,1.01048553722535e-08,1.75871449865299e-08,0,"No history [0-3]",1.42920822478655e-08
"29",2004-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",4761,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,5.89386624992745e-06,5.87053020961776e-06,3.67769818147451,TRUE,0,1.9141721488047e-09,3.33154922757673e-09,0,"No history [0-3]",2.70736242919516e-09
"30",2004-09-30,"Fuels","DLA","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",497847,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,0.000616308261064405,0.000613868064118372,5.69709589443632,TRUE,0,2.00160651494639e-07,3.48372566330895e-07,0,"No history [0-3]",2.83102764815695e-07
"31",2004-09-30,"Other","Army","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",12888,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,1.59546625139813e-05,1.58914919852035e-05,4.11018552741116,TRUE,0,5.18165315139571e-09,9.01848486557632e-09,0,"No history [0-3]",7.32881474216914e-09
"32",2005-09-30,"Other","Air Force","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",19046,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,2.27409240006367e-05,2.2698128947682e-05,4.2798037799941,TRUE,0,7.40105658436936e-09,1.28812783961486e-08,0,"No history [0-3]",1.04678894974944e-08
"33",2005-09-30,"Other","Army","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",405991,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.000484753254013573,0.000483841020140627,5.60851640625291,TRUE,0,1.57763433988486e-07,2.74581702054541e-07,0,"No history [0-3]",2.2313708521355e-07
"34",2005-09-30,"Other","Army","Defense","5530","PLYWOOD AND VENEER",-2,0,0,0,0,"Not PBL","Not PBL",51128,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,6.10468320017093e-05,6.09319508997736e-05,4.7086588045405,TRUE,0,1.98677528638894e-08,3.45791243220775e-08,0,"No history [0-3]",2.81005068900502e-08
"35",2005-09-30,"Other","Army","Defense","9620","MINERALS, NATURAL AND SYNTHETIC",-2,0,0,0,0,"Not PBL","Not PBL",6687,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,7.98427800022356e-06,7.96925277082588e-06,3.8252313231999,TRUE,0,2.59849130419395e-09,4.52258262286285e-09,0,"No history [0-3]",3.67524819225797e-09
"36",2005-09-30,"Other","Army","Defense","9660","PRECIOUS METALS PRIMARY FORMS",-2,0,0,0,0,"Not PBL","Not PBL",445,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,5.31330000014877e-07,5.30330115600048e-07,2.64836001098093,TRUE,0,1.72921882812368e-10,3.00964448508146e-10,0,"No history [0-3]",2.44576857418094e-10
"37",2004-09-30,"Other","Navy","Defense","9660","PRECIOUS METALS PRIMARY FORMS",-2,0,0,0,0,"Not PBL","Not PBL",1086208,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,0.00134466806796916,0.00133934401972873,6.03591299707847,TRUE,0,4.36712686706334e-07,7.60083054691801e-07,0,"No history [0-3]",6.17676691764592e-07
