"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","Contracting.Agency.ID","MajorCommandID","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","MajorCommandCode","ContractingOfficeCode","MajorCommandName","MCC_StartFiscal_Year","MCC_EndFiscal_Year","ContractingOfficeName","Contracting.Department.ID","Contracting.Agency.Name","CSIS.Name","Summarized.Agency","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"69449",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","5530","PLYWOOD AND VENEER",-2,0,0,0,2,"Not PBL","Not PBL",4777190.92,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.0046769153481099,0.00477719092,0.0048446727936743,0.00484747937087773,6.6791725981696,2014-09-30,2013-10-01,TRUE,0,1.38029583218704e-06,2.27249906208151e-06,0,"No history [0-3]",1.92893577098099e-06
"69451",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,2,"Not PBL","Not PBL",5840,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,5.71741554615569e-06,5.84e-06,5.92249495338526e-06,5.92592592592593e-06,3.7664128471124,2014-09-30,2013-10-01,TRUE,0,1.68737816741315e-09,2.77807497016594e-09,0,"No history [0-3]",2.35807718200405e-09
"69453",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5530","PLYWOOD AND VENEER",-2,0,0,0,2,"Not PBL","Not PBL",507120.65,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000496475939740852,0.00050712065,0.000514284159312064,0.000514582090309488,5.70511129541961,2014-09-30,2013-10-01,TRUE,0,1.46524711139446e-07,2.41236161749877e-07,0,"No history [0-3]",2.04765348165764e-07
"69455",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,2,"Not PBL","Not PBL",23781.88,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.32826867172618e-05,2.378188e-05,2.41178192263722e-05,2.41317909690512e-05,4.37624618339257,2014-09-30,2013-10-01,TRUE,0,6.87140840617113e-09,1.13129872553921e-08,0,"No history [0-3]",9.60265557759564e-09
"69460",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","9650","NONFERROUS BASE METAL REFINERY",-2,0,0,0,2,"Not PBL","Not PBL",15098.5,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,1.47815751067862e-05,1.50985e-05,1.53117791187821e-05,1.53206494165398e-05,4.17893380331427,2014-09-30,2013-10-01,TRUE,0,4.36247932546018e-09,7.18232276319357e-09,0,"No history [0-3]",6.09647745419319e-09
"235742",2014-01-01,"Other","Defense","DLA","97AS","ORG-2773","4120","AIR CONDITIONING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",0,"DLA DOCUMENT SVCS",NA,"DLA DOCUMENT SVCS",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0,0,0,0,0,2014-09-30,2013-10-01,TRUE,0,0,0,2,"No history [0-3]",0
"235757",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","3220","WOODWORKING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",126474.52,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000123819758020647,0.00012647452,0.000128261079868463,0.000128335383054287,5.10200303983592,2014-09-30,2013-10-01,TRUE,0,3.65428670859688e-08,6.01636469821492e-08,2,"No history [0-3]",5.10679246090608e-08
"235758",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","3615","PULP AND PAPER INDUSTRIES MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",163171,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000159745960972906,0.000163171,0.000165475928773772,0.000165571790969051,5.21264297513409,2014-09-30,2013-10-01,TRUE,0,4.71457505059882e-08,7.76200806433128e-08,2,"No history [0-3]",6.58852417576684e-08
"235759",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","3693","INDUSTRIAL ASSEMBLY MACHINES",0,0,0,0,2,"Not PBL","Not PBL",-2325,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,-2.27619711383767e-06,-2.325e-06,-2.3578425970241e-06,-2.35920852359208e-06,NA,2014-09-30,2013-10-01,TRUE,0,-6.71772986170474e-10,-1.10599731260887e-09,2,"No history [0-3]",-9.38789289068394e-10
"235760",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","4020","FIBER ROPE, CORDAGE, AND TWINE",0,0,0,0,2,"Not PBL","Not PBL",4210,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,4.121630042691e-06,4.21e-06,4.26946982084793e-06,4.27194317605276e-06,3.62428209583567,2014-09-30,2013-10-01,TRUE,0,1.21641474054955e-09,2.00268760691757e-09,2,"No history [0-3]",1.69991522880772e-09
"235761",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","4240","SAFETY AND RESCUE EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",26367.69,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.5814219301749e-05,2.636769e-05,2.67401559858608e-05,2.67556468797565e-05,4.42107208412803,2014-09-30,2013-10-01,TRUE,0,7.61853842998596e-09,1.25430513030984e-08,2,"No history [0-3]",1.06467548169788e-08
"235762",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","4250","RECYCLING AND RECLAMATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",204000,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000199717940310918,0.000204,0.000206881673029211,0.000207001522070015,5.3096301674259,2014-09-30,2013-10-01,TRUE,0,5.89426620123771e-08,9.70423448482623e-08,2,"No history [0-3]",8.23711892343882e-08
"235763",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","6730","PHOTOGRAPHIC PROJECTION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",3635,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,3.55869957367739e-06,3.635e-06,3.68634745814305e-06,3.6884830035515e-06,3.56050441519506,2014-09-30,2013-10-01,TRUE,0,1.0502773353676e-09,1.72916138982075e-09,2,"No history [0-3]",1.46774153366177e-09
"235764",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","7110","OFFICE FURNITURE",0,0,0,0,2,"Not PBL","Not PBL",241005.88,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000235947048805982,0.00024100588,0.000244410292471948,0.000244551882293252,5.38202763851015,2014-09-30,2013-10-01,TRUE,0,6.96349418031153e-08,1.14645959399112e-07,2,"No history [0-3]",9.73134360200012e-08
"235776",2014-01-01,"Other","Defense","DLA","97AS","ORG-2775","7810","ATHLETIC AND SPORTING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",1342.35,"DLA ENERGY",NA,"DLA ENERGY",2003,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,1.31417341753118e-06,1.34235e-06,1.36131183230765e-06,1.362100456621e-06,3.12786576713741,2014-09-30,2013-10-01,TRUE,0,3.87851384079973e-10,6.38552900034632e-10,2,"No history [0-3]",5.42014538572456e-10
"235803",2014-01-01,"Other","Defense","DLA","97AS","ORG-2777","3695","MISC SPECIAL INDUSTRY MACHINE",0,0,0,0,2,"Not PBL","Not PBL",138908.34,"DLA DISPOSITION SVCS",NA,"DLA DISPOSITION SERVICES",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000135992586062788,0.00013890834,0.00014087053812211,0.000140952146118721,5.14272832138373,2014-09-30,2013-10-01,TRUE,0,4.01354281143155e-08,6.60783874146062e-08,2,"No history [0-3]",5.60884566685036e-08
"235804",2014-01-01,"Other","Defense","DLA","97AS","ORG-2777","4235","HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL",0,0,0,0,2,"Not PBL","Not PBL",5420,"DLA DISPOSITION SVCS",NA,"DLA DISPOSITION SERVICES",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,5.30623155139792e-06,5.42e-06,5.49656209714865e-06,5.49974632166413e-06,3.73399928653839,2014-09-30,2013-10-01,TRUE,0,1.5660256279759e-09,2.57828190724305e-09,2,"No history [0-3]",2.18848943946267e-09
"235805",2014-01-01,"Other","Defense","DLA","97AS","ORG-2777","4240","SAFETY AND RESCUE EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",81070.4,"DLA DISPOSITION SVCS",NA,"DLA DISPOSITION SERVICES",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,7.93686926871678e-05,8.10704e-05,8.2215588162487e-05,8.22632166412988e-05,4.90886231582429,2014-09-30,2013-10-01,TRUE,0,2.34240450314128e-08,3.85650084009145e-08,2,"No history [0-3]",3.27346336260174e-08
"235806",2014-01-01,"Other","Defense","DLA","97AS","ORG-2777","7110","OFFICE FURNITURE",0,0,0,0,2,"Not PBL","Not PBL",191870.37,"DLA DISPOSITION SVCS",NA,"DLA DISPOSITION SERVICES",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000187842917172028,0.00019187037,0.000194580701717322,0.000194693424657534,5.28300791304166,2014-09-30,2013-10-01,TRUE,0,5.54379920053909e-08,9.12723069201161e-08,2,"No history [0-3]",7.74734831163827e-08
"235812",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","3230","TOOLS - ATTACHS FOR WOODWORK MACH",0,0,0,0,2,"Not PBL","Not PBL",23023.9,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.25406170878654e-05,2.30239e-05,2.33491321159669e-05,2.33626585489599e-05,4.36217889031984,2014-09-30,2013-10-01,TRUE,0,6.65240174464103e-09,1.09524178605486e-08,2,"No history [0-3]",9.29659815594917e-09
"235813",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","3530","IND SEW MACH & MOBILE TEXTILE SHOPS",0,0,0,0,2,"Not PBL","Not PBL",91387.81,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,8.94695352094387e-05,9.138781e-05,9.26787403297827e-05,9.27324302384576e-05,4.96088827010146,2014-09-30,2013-10-01,TRUE,0,2.64051019454968e-08,4.347297731837e-08,2,"No history [0-3]",3.69006009373839e-08
"235814",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","3930","WAREHOUSE TRKS & TRACTORS SELF-PROP",0,0,0,0,2,"Not PBL","Not PBL",802353.72,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000785511923329426,0.00080235372,0.00081368764683731,0.00081415902587519,5.90436587050055,2014-09-30,2013-10-01,TRUE,0,2.31827765354576e-07,3.81677874443755e-07,2,"No history [0-3]",3.2397465736782e-07
