"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","Contracting.Agency.ID","MajorCommandID","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","MajorCommandCode","ContractingOfficeCode","MajorCommandName","MCC_StartFiscal_Year","MCC_EndFiscal_Year","ContractingOfficeName","Contracting.Department.ID","Contracting.Agency.Name","CSIS.Name","Summarized.Agency","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"40658",2014-01-01,"Other","Defense","DLA","97AS","ORG-2777","6670","SCALES AND BALANCES",0,0,0,0,0,"Not PBL","Not PBL",5000,"DLA DISPOSITION SVCS",NA,"DLA DISPOSITION SERVICES",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,4.89504755664015e-06,5e-06,5.07062924091204e-06,5.07356671740233e-06,3.69897000433602,2014-09-30,2013-10-01,TRUE,0,1.44467308853865e-09,2.37848884432015e-09,0,"No history [0-3]",2.01890169692128e-09
"41756",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",0,0,0,0,0,"Not PBL","Not PBL",0,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0,0,0,0,0,2014-09-30,2013-10-01,TRUE,0,0,0,0,"No history [0-3]",0
"42093",2014-01-01,"Other","Defense","DLA","97AS","ORG-2787","3416","LATHES",0,0,0,0,0,"Not PBL","Not PBL",0,"DLA AVIATION",NA,"DLA AVIATION",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0,0,0,0,0,2014-09-30,2013-10-01,TRUE,0,0,0,0,"No history [0-3]",0
"43436",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","5680","MISC CONTRUCT MATERIALS",0,0,0,0,0,"Not PBL","Not PBL",-3338.28,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,-3.26820787147613e-06,-3.33828e-06,-3.38543603647037e-06,-3.38739726027397e-06,NA,2014-09-30,2013-10-01,TRUE,0,-9.64544655601364e-10,-1.58801234784342e-09,0,"No history [0-3]",-1.34793183135967e-09
"69146",2014-01-01,"Other","Defense","DLA","97AS","ORG-2781","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,2,"Not PBL","Not PBL",3986232.28,"DLA TROOP SUPT C&E",NA,"DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00390255931648281,0.00398623228,0.00404254119200709,0.00404488308472856,6.60056260168587,2014-09-30,2013-10-01,TRUE,0,1.15176049991602e-06,1.89624180176978e-06,0,"No history [0-3]",1.60956222288288e-06
"69167",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,2,"Not PBL","Not PBL",807510.69,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000790560646009059,0.00080751069,0.000818917463412611,0.000819391872146119,5.90714828032485,2014-09-30,2013-10-01,TRUE,0,2.33317792510056e-07,3.84131033566854e-07,0,"No history [0-3]",3.26056940464615e-07
"69214",2014-01-01,"Other","Defense","DLA","97AS","ORG-2787","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,2,"Not PBL","Not PBL",38135.54,"DLA AVIATION",NA,"DLA AVIATION",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,3.73350563796305e-05,3.813554e-05,3.86742368483941e-05,3.86966412988331e-05,4.58132990038672,2014-09-30,2013-10-01,TRUE,0,1.10186776709779e-08,1.8140991292425e-08,0,"No history [0-3]",1.53983812838019e-08
"69305",2014-01-01,"Other","Defense","DLA","97AS","ORG-2787","9650","NONFERROUS BASE METAL REFINERY",-2,0,0,0,2,"Not PBL","Not PBL",5332,"DLA AVIATION",NA,"DLA AVIATION",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,5.22007871440105e-06,5.332e-06,5.4073190225086e-06,5.41045154743785e-06,3.72689014074182,2014-09-30,2013-10-01,TRUE,0,1.54059938161762e-09,2.53642050358301e-09,0,"No history [0-3]",2.15295676959685e-09
"69329",2014-01-01,"Other","Defense","DLA","97AS","ORG-2787","5530","PLYWOOD AND VENEER",-2,0,0,0,2,"Not PBL","Not PBL",7315.25,"DLA AVIATION",NA,"DLA AVIATION",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,7.16169932774236e-06,7.31525e-06,7.41858411091636e-06,7.42288178589548e-06,3.8642291728079,2014-09-30,2013-10-01,TRUE,0,2.11362896218648e-09,3.4798481036826e-09,0,"No history [0-3]",2.95375412768068e-09
"69433",2014-01-01,"Other","Defense","DLA","97AS","ORG-2774","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,2,"Not PBL","Not PBL",22619.7,"DLA DISTRIBUTION",NA,"DLA DISTRIBUTION",2005,2014,"DLA DISTRIBUTION","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.21449014433866e-05,2.26197e-05,2.29392224481316e-05,2.29525114155251e-05,4.35448684067748,2014-09-30,2013-10-01,TRUE,0,6.53561437216356e-09,1.07601408223737e-08,0,"No history [0-3]",9.13339014277005e-09
