"","Fiscal.Year","Customer","SubCustomer","AddressCat","MajorCommandName","ProductOrServiceArea","Obligation.2014"
"2952",2014-01-01,"Defense","DLA","Promising [9-10]","DLA AVIATION","Aircraft",0.7499611354217
"2953",2014-01-01,"Defense","DLA","Promising [9-10]","DLA AVIATION","Electronics & Communications",0.0978817402704
"2954",2014-01-01,"Defense","DLA","Promising [9-10]","DLA AVIATION","Engines & Power Plants",0.3667416887136
"2955",2014-01-01,"Defense","DLA","Promising [9-10]","DLA CONTRACTING SERVICES OFFICE","PAMS",0.0050530149336
"2956",2014-01-01,"Defense","DLA","Promising [9-10]","DLA ENERGY","PAMS",0.00107850778
"2957",2014-01-01,"Defense","DLA","Promising [9-10]","DLA LAND","Aircraft",-5.20097998e-05
"2958",2014-01-01,"Defense","DLA","Promising [9-10]","DLA LAND","Electronics & Communications",0.0151177452986
"2959",2014-01-01,"Defense","DLA","Promising [9-10]","DLA MARITIME","Aircraft",-0.0008255633553
"2960",2014-01-01,"Defense","DLA","Promising [9-10]","DLA MARITIME","Electronics & Communications",0.0082366907384
"2961",2014-01-01,"Defense","DLA","Promising [9-10]","DLA TROOP SUPPORT CONSTRUCTION & EQUIPMENT","Aircraft",0.000276593
"2962",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Aircraft",0.9601782385872
"2963",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Clothing & Subsistence",0
"2964",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Electronics & Communications",0.2449383090225
"2965",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Engines & Power Plants",0.3403280079837
"2966",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Ground Vehicles",0.0181076638232
"2967",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Launchers & Munitions",0.0005511885078
"2968",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Missiles & Space",0.0065592838595
"2969",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","Other",0.0526940375463
"2970",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA AVIATION","PAMS",0.000203412
"2971",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","Aircraft",0
"2972",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","Electronics & Communications",0.01040384477
"2973",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","ERS",0.0005105064912
"2974",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","FRS&C",0.0031384478753
"2975",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","ICT",0.08302588786
"2976",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","Other",7.593985e-05
"2977",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA CONTRACTING SERVICES OFFICE","PAMS",0.0697704918581
"2978",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISPOSITION SERVICES","Electronics & Communications",6.12e-06
"2979",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISPOSITION SERVICES","FRS&C",2.02e-05
"2980",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISPOSITION SERVICES","ICT",-1.352129e-05
"2981",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISPOSITION SERVICES","PAMS",0.0025454894391
"2982",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISTRIBUTION","Electronics & Communications",0.0003395037396
"2983",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISTRIBUTION","FRS&C",0.0165264990765
"2984",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISTRIBUTION","ICT",0.011763952915
"2985",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DISTRIBUTION","PAMS",-1.69438313999997e-05
"2986",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","Electronics & Communications",0.00954383588
"2987",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","ERS",4.3234e-05
"2988",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","FRS&C",4.37387102e-05
"2989",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","ICT",0.00526023139
"2990",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","Other",6.56089531e-05
"2991",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA DOCUMENT SVCS","PAMS",0.000227598125
"2992",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA ENERGY","ERS",0.0005343
"2993",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA ENERGY","FRS&C",0.0034004490866
"2994",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA ENERGY","PAMS",0.0160223435708
"2995",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Aircraft",0.0172963284104
"2996",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Electronics & Communications",0.0566723750498
"2997",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Engines & Power Plants",0.0030434713144
"2998",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Ground Vehicles",0.0065548456071
"2999",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Launchers & Munitions",0.0056446265
"3000",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LAND","Other",0.0385440691645
"3001",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA LOGISTICS INFORMATION SERVICE","Other",1.674e-05
"3002",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Aircraft",0.0010960592283
"3003",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Electronics & Communications",0.1791767767348
"3004",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Engines & Power Plants",0.0325210076175
"3005",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","ERS",2.201698e-05
"3006",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Ground Vehicles",0.0172917673815
"3007",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","ICT",8.28688e-06
"3008",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Launchers & Munitions",0.0011333568198
"3009",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Missiles & Space",0.0002658485313
"3010",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Other",0.0201997981905
"3011",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA MARITIME","Ships",0.001959470105
"3012",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA STRATEGIC MATERIALS","ERS",-0.0001178456719
"3013",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA STRATEGIC MATERIALS","FRS&C",0.000103326002
"3014",2014-01-01,"Defense","DLA","Uncommon [6-8]","DLA STRATEGIC MATERIALS","PAMS",0.0009669762969
