"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"35932",2013-09-30,"Other","DLA","Defense","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,2,"Not PBL","Not PBL",71488.25,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,7.148825e-05,7.25990149284046e-05,4.85423466586391,TRUE,2.36719695571854e-08,4.12002295314491e-08,0,0,"No history [0-3]",3.34811062025928e-08
"35933",2013-09-30,"Other","DLA","Defense","9660","PRECIOUS METALS PRIMARY FORMS",-2,0,0,0,2,"Not PBL","Not PBL",38037.1016,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.80371016e-05,3.862811170915e-05,4.58020741659652,TRUE,1.25952602157525e-08,2.19216069302445e-08,0,0,"No history [0-3]",1.78144553588654e-08
"35991",2013-09-30,"Other","DLA","Defense","9420","FIBERS VEGETABLE ANIMAL & SYNTHETIC",-2,0,0,0,2,"Not PBL","Not PBL",12164.2402,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.21642402e-05,1.2353244846146e-05,4.08508498731101,TRUE,4.0279559745929e-09,7.01051555067694e-09,0,0,"No history [0-3]",5.69705116589158e-09
"35993",2014-09-30,"Other","DLA","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,2,"Not PBL","Not PBL",4854498.2048,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00475259991522404,0.0048544982048,6.6861443448209,TRUE,1.58288006845222e-06,2.7549470264164e-06,0,0,"No history [0-3]",2.23879029371806e-06
"36003",2014-09-30,"Other","DLA","Defense","5530","PLYWOOD AND VENEER",-2,0,0,0,2,"Not PBL","Not PBL",5291626.8279,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00518055299491267,0.0052916268279,6.72358920960876,TRUE,1.72541224287363e-06,3.00301925748244e-06,0,0,"No history [0-3]",2.4403846248345e-06
"36011",2013-09-30,"Other","DLA","Defense","9650","NONFERROUS BASE METAL REFINERY",-2,0,0,0,2,"Not PBL","Not PBL",1135130,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00113513,0.00115276734030669,6.05504560166095,TRUE,3.75876634320296e-07,6.5420004753276e-07,0,0,"No history [0-3]",5.31631535024975e-07
"36051",2014-09-30,"Other","DLA","Defense","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,2,"Not PBL","Not PBL",29621.8799,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,2.90001021655166e-05,2.96218799e-05,4.4716126167878,TRUE,9.6586467448755e-09,1.68105345814482e-08,0,0,"No history [0-3]",1.36609747092355e-08
"36054",2014-09-30,"Other","DLA","Defense","9650","NONFERROUS BASE METAL REFINERY",-2,0,0,0,2,"Not PBL","Not PBL",20430.5,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,2.00016538211873e-05,2.04305e-05,4.31027899534433,TRUE,6.66166303378939e-09,1.15943899551857e-08,0,0,"No history [0-3]",9.42210773722828e-09
"95532",2013-09-30,"Other","DLA","Defense","3230","TOOLS - ATTACHS FOR WOODWORK MACH",0,0,0,0,2,"Not PBL","Not PBL",58342.2197,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,5.83422197e-05,5.9248725195491e-05,4.76598294835656,TRUE,1.93189125294999e-08,3.36238870445735e-08,0,2,"No history [0-3]",2.73242393522111e-08
"95533",2013-09-30,"Other","DLA","Defense","3415","GRINDING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",6419658.0589,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0064196580589,0.00651940495470702,6.80751189612372,TRUE,2.12574724011038e-06,3.69978822449979e-06,0,2,"No history [0-3]",3.00660952330434e-06
"95534",2013-09-30,"Other","DLA","Defense","3456","CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",5513198.0703,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0055131980703,0.00559886063806235,6.74140359547094,TRUE,1.82559031565152e-06,3.17737566591296e-06,0,2,"No history [0-3]",2.58207425846407e-06
"95535",2013-09-30,"Other","DLA","Defense","3530","IND SEW MACH & MOBILE TEXTILE SHOPS",0,0,0,0,2,"Not PBL","Not PBL",195049,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000195049,0.000198079618157815,5.29014372806183,TRUE,6.45867536295749e-08,1.12410970612368e-07,0,2,"No history [0-3]",9.1350064992632e-08
"95536",2013-09-30,"Other","DLA","Defense","3625","TEXTILE INDUSTRIES MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",104718.6797,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001047186797,0.000106345769980705,5.02002415796383,TRUE,3.46755921137676e-08,6.03516471569846e-08,0,2,"No history [0-3]",4.90443847265949e-08
"95537",2013-09-30,"Other","DLA","Defense","3693","INDUSTRIAL ASSEMBLY MACHINES",0,0,0,0,2,"Not PBL","Not PBL",10265.5398,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.02655398e-05,1.04250429572459e-05,4.01138179111504,TRUE,3.39923757587681e-09,5.91625331469474e-09,0,2,"No history [0-3]",4.80780587398269e-09
"95538",2013-09-30,"Other","DLA","Defense","3805","EARTH MOVING & EXCAVATING EQ",0,0,0,0,2,"Not PBL","Not PBL",23217724.6514,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0232177246514,0.023578475323855,7.36581965641201,TRUE,7.68810638300775e-06,1.33808784637428e-05,0,2,"No history [0-3]",1.08738863356717e-05
"95539",2013-09-30,"Other","DLA","Defense","3815","CRANE AND CRANE-SHOVEL ATTACHMENTS",0,0,0,0,2,"Not PBL","Not PBL",144348.5209,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001443485209,0.000146591368843303,5.1594123381422,TRUE,4.77982576489079e-08,8.3191184475843e-08,0,2,"No history [0-3]",6.76047904157689e-08
"95562",2013-09-30,"Other","DLA","Defense","3412","BROACHING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",40569.7998,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,4.05697998e-05,4.12001622829288e-05,4.6082028645944,TRUE,1.34339148854071e-08,2.33812558540031e-08,0,2,"No history [0-3]",1.9000629833878e-08
"95563",2013-09-30,"Other","DLA","Defense","3417","MILLING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",865460.8058,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0008654608058,0.000878908099725805,5.93724740472417,TRUE,2.86580827588237e-07,4.98783839993746e-07,0,2,"No history [0-3]",4.05333535975092e-07
"95564",2013-09-30,"Other","DLA","Defense","3418","PLANERS AND SHAPERS",0,0,0,0,2,"Not PBL","Not PBL",149948.7969,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001499487969,0.000152278660404184,5.1759429855888,TRUE,4.96526821590034e-08,8.64187450419425e-08,0,2,"No history [0-3]",7.02276471162732e-08
"95702",2013-09-30,"Other","DLA","Defense","3432","ELECTRIC RESISTANCE WELDING EQ",0,0,0,0,2,"Not PBL","Not PBL",67078.3999,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,6.70783999e-05,6.81206457804407e-05,4.82658269432032,TRUE,2.22117318633133e-08,3.86587372397888e-08,0,2,"No history [0-3]",3.14157785503477e-08
"95703",2013-09-30,"Other","DLA","Defense","3445","PUNCHING AND SHEARING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",786069,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000786069,0.00079828272570326,5.89546066945418,TRUE,2.60291746375764e-07,4.53028619773972e-07,0,2,"No history [0-3]",3.68150845370616e-07
"95704",2013-09-30,"Other","DLA","Defense","3448","RIVETING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",25790,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.579e-05,2.61907179851731e-05,4.41145134213794,TRUE,8.53986627004874e-09,1.48633365569317e-08,0,2,"No history [0-3]",1.20785965381006e-08
"95705",2013-09-30,"Other","DLA","Defense","3465","PRODUCTION JIGS FIXTURES & TEMPLATE",0,0,0,0,2,"Not PBL","Not PBL",103902.1403,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001039021403,0.000105516543414238,5.01662449376416,TRUE,3.44052106759923e-08,5.98810577845846e-08,0,2,"No history [0-3]",4.86619632465615e-08
"95706",2013-09-30,"Other","DLA","Defense","3615","PULP AND PAPER INDUSTRIES MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",100446.95,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00010044695,0.000102007667309841,5.00193675424226,TRUE,3.32610903541788e-08,5.7889756648596e-08,0,2,"No history [0-3]",4.70437449605569e-08
"95707",2013-09-30,"Other","DLA","Defense","3620","RUBBER & PLASTIC WORKING MACHINE",0,0,0,0,2,"Not PBL","Not PBL",7146.2,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,7.1462e-06,7.25723570630649e-06,3.85407516659367,TRUE,2.3663277370695e-09,4.11851010869117e-09,0,2,"No history [0-3]",3.34688121677295e-09
"95708",2013-09-30,"Other","DLA","Defense","3635","CRYSTAL & GLASS INDUSTRIES MACHINE",0,0,0,0,2,"Not PBL","Not PBL",3201.8501,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.2018501e-06,3.25159957347415e-06,3.50540099583228,TRUE,1.06023154985429e-09,1.84529568209172e-09,0,2,"No history [0-3]",1.49956787643959e-09
"95709",2013-09-30,"Other","DLA","Defense","3810","CRANES AND CRANE-SHOVELS",0,0,0,0,2,"Not PBL","Not PBL",525913.9621,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0005259139621,0.000534085469787753,5.72091470072883,TRUE,1.7414637091452e-07,3.03095626936089e-07,0,2,"No history [0-3]",2.46308746101583e-07
"95710",2013-09-30,"Other","DLA","Defense","4110","REFRIGERATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",3572545.9922,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0035725459922,0.00362805523733117,6.55297782851412,TRUE,1.18298041942561e-06,2.05893576763033e-06,0,2,"No history [0-3]",1.67318114205475e-06
"95711",2013-09-30,"Other","DLA","Defense","4120","AIR CONDITIONING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",2828152.0823,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0028281520823,0.00287209513791002,6.45150275969622,TRUE,9.36488583722446e-07,1.62992540649136e-06,0,2,"No history [0-3]",1.32454858280305e-06
"95712",2013-09-30,"Other","DLA","Defense","4140","FANS AIR CIRCULATORS & BLOWER EQ",0,0,0,0,2,"Not PBL","Not PBL",16514477.9135,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0165144779135,0.0167710753666091,7.21786484851668,TRUE,5.46845416444217e-06,9.51765193060744e-06,0,2,"No history [0-3]",7.73445970354942e-06
"95713",2013-09-30,"Other","DLA","Defense","4150","VORTEX TUBES AND OTHER RELATED COOLING TUBES",0,0,0,0,2,"Not PBL","Not PBL",10542,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.0542e-05,1.07057987204225e-05,4.02292301187894,TRUE,3.49078209456587e-09,6.07558332621846e-09,0,2,"No history [0-3]",4.93728440111114e-09
