"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"99508",2014-09-30,"Other","DLA","Defense","3810","CRANES AND CRANE-SHOVELS",0,0,0,0,2,"Not PBL","Not PBL",582283.729,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000570061308982553,0.000582283729,5.76513465460357,TRUE,1.89862117552499e-07,3.30448330612842e-07,0,2,"No history [0-3]",2.68536747914786e-07
"99509",2014-09-30,"Other","DLA","Defense","3920","MAT HANDLING EQ - NONSELF-PROPELLED",0,0,0,0,2,"Not PBL","Not PBL",645051.0692,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000631511132039115,0.0006450510692,5.8095940994318,TRUE,2.10328325914489e-07,3.66069045657927e-07,0,2,"No history [0-3]",2.97483696924534e-07
"99510",2014-09-30,"Other","DLA","Defense","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",0,0,0,0,2,"Not PBL","Not PBL",5674771.6877,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00555565545687331,0.0056747716877,6.75394839330716,TRUE,1.85034222251759e-06,3.22045548830626e-06,0,2,"No history [0-3]",2.61708280392952e-06
"99511",2014-09-30,"Other","DLA","Defense","4110","REFRIGERATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",3390889.1735,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00331971275271574,0.0033908891735,6.53031359569848,TRUE,1.10564895909457e-06,1.92434308374129e-06,0,2,"No history [0-3]",1.56380524792433e-06
"99512",2014-09-30,"Other","DLA","Defense","4120","AIR CONDITIONING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",2777098.5108,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0027188058559681,0.0027770985108,6.44359128556158,TRUE,9.05513545463298e-07,1.57601444302297e-06,0,2,"No history [0-3]",1.28073817898014e-06
"99513",2014-09-30,"Other","DLA","Defense","4140","FANS AIR CIRCULATORS & BLOWER EQ",0,0,0,0,2,"Not PBL","Not PBL",15957184.9514,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0156222358414411,0.0159571849514,7.20295627875002,TRUE,5.20307330286002e-06,9.05576588500295e-06,0,2,"No history [0-3]",7.35911092704381e-06
"99514",2014-09-30,"Other","DLA","Defense","4320","POWER AND HAND PUMPS",0,0,0,0,2,"Not PBL","Not PBL",70332934.1102,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0688566114534934,0.0703329341102,7.84715873544681,TRUE,2.29330807968412e-05,3.9914219660118e-05,0,2,"No history [0-3]",3.24360384063866e-05
"99690",2013-09-30,"Other","DLA","Defense","6740","PHOTO DEVELOPLNG & FINISHING EQ",0,0,0,0,2,"Not PBL","Not PBL",105152,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000105152,0.000106785823093328,5.02181753741895,TRUE,3.48190778607276e-08,6.0601379047479e-08,0,2,"No history [0-3]",4.92473277694592e-08
"99691",2013-09-30,"Other","DLA","Defense","6810","CHEMICALS",0,0,0,0,2,"Not PBL","Not PBL",215989.0907,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002159890907,0.000219345070275211,5.33443181611185,TRUE,7.15206650006758e-08,1.24479199212863e-07,0,2,"No history [0-3]",1.01157234710993e-07
"99692",2013-09-30,"Other","DLA","Defense","7195","MISC FURNITURE & FIXTURES",0,0,0,0,2,"Not PBL","Not PBL",145406.0859,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001454060859,0.000147665365999797,5.16258258408474,TRUE,4.81484501138899e-08,8.38006821309741e-08,0,2,"No history [0-3]",6.81000948340634e-08
"99693",2013-09-30,"Other","DLA","Defense","7310","FOOD COOKING BAKING SERVING EQ",0,0,0,0,2,"Not PBL","Not PBL",7953028.3921,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0079530283921,0.00807660037788159,6.90053253287528,TRUE,2.6334935599238e-06,4.5835028165419e-06,0,2,"No history [0-3]",3.72475460272333e-06
"99694",2013-09-30,"Other","DLA","Defense","7360","SET KIT & OUTFIT FOOD PREP & SERV",0,0,0,0,2,"Not PBL","Not PBL",1014766.02,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00101476602,0.00103053317761755,6.00636591620286,TRUE,3.36020399619605e-07,5.84831674362082e-07,0,2,"No history [0-3]",4.7525976487608e-07
"99698",2013-09-30,"Other","DLA","Defense","9535","PLATE SHEET STRIP-NONFERROUS METAL",0,0,0,0,2,"Not PBL","Not PBL",5207448.5925,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0052074485925,0.00528836050827663,6.71662499132189,TRUE,1.72434721163643e-06,3.00116560811353e-06,0,2,"No history [0-3]",2.43887826838725e-06
"99733",2014-09-30,"Other","DLA","Defense","5325","FASTENING DEVICES",0,0,0,0,2,"Official PBL","All PBL",3334.8,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,3.26480091837671e-06,3.3348e-06,3.523069792825,TRUE,1.0873602645594e-09,1.89251225484219e-09,0,2,"No history [0-3]",1.53793812594449e-09
"99734",2014-09-30,"Other","DLA","Defense","5331","O-RING",0,0,0,0,2,"Not PBL","Not PBL",6746300.798,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00660469264752187,0.006746300798,6.82906570121713,TRUE,2.19972994497738e-06,3.82855251741233e-06,0,2,"No history [0-3]",3.11124901233475e-06
"99735",2014-09-30,"Other","DLA","Defense","5355","KNOBS AND POINTERS",0,0,0,0,2,"Not PBL","Not PBL",1973147.6484,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00193173031503813,0.0019731476484,6.29515958423151,TRUE,6.43373620300763e-07,1.11976913314443e-06,0,2,"No history [0-3]",9.09973310720904e-07
"99736",2014-09-30,"Other","DLA","Defense","5420","BRIDGES, FIXED AND FLOATING",0,0,0,0,2,"Not PBL","Not PBL",594634.6494,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000582152977527808,0.0005946346494,5.77425021197418,TRUE,1.93889315607464e-07,3.37457527031092e-07,0,2,"No history [0-3]",2.74232727096046e-07
"99737",2014-09-30,"Other","DLA","Defense","5430","STORAGE TANKS",0,0,0,0,2,"Not PBL","Not PBL",1364928.6491,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00133627812975302,0.0013649286491,6.13510994946318,TRUE,4.45054928928296e-07,7.7460243355132e-07,0,2,"No history [0-3]",6.29475773253207e-07
"99738",2014-09-30,"Other","DLA","Defense","5640","WALLBOARD BLDG & THERMAL INSULATION",0,0,0,0,2,"Not PBL","Not PBL",1622853.3464,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00158878886161612,0.0016228533464,6.21027927538572,TRUE,5.29155045004982e-07,9.20975724443341e-07,0,2,"No history [0-3]",7.48425103228127e-07
"99785",2013-09-30,"Other","DLA","Defense","6695","COMBINATION & MISC INSTRUMENTS",0,0,0,0,2,"Not PBL","Not PBL",12604631.9171,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0126046319171,0.0128004792496192,7.10053016784615,TRUE,4.17378328635991e-06,7.26432285227222e-06,0,2,"No history [0-3]",5.90330606583622e-06
"99786",2013-09-30,"Other","DLA","Defense","6710","CAMERAS, MOTION PICTURE",0,0,0,0,2,"Not PBL","Not PBL",24095.5798,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.40955798e-05,2.44699703462984e-05,4.38193738097593,TRUE,7.97879136065482e-09,1.38868054324081e-08,0,2,"No history [0-3]",1.12850246900274e-08
"99787",2013-09-30,"Other","DLA","Defense","6720","CAMERAS, STILL PICTURE",0,0,0,0,2,"Not PBL","Not PBL",307065.2607,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0003070652607,0.000311836356961511,5.4872306860631,TRUE,1.01678800409292e-07,1.76968372032806e-07,0,2,"No history [0-3]",1.4381222934711e-07
"99788",2013-09-30,"Other","DLA","Defense","6750","PHOTOGRAPHIC SUPPLIES",0,0,0,0,2,"Not PBL","Not PBL",214355.5286,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002143555286,0.000217686126332893,5.33113468919729,TRUE,7.09797420895544e-08,1.23537741931788e-07,0,2,"No history [0-3]",1.00392165400181e-07
"99789",2013-09-30,"Other","DLA","Defense","7330","KITCHEN HAND TOOLS AND UTENSILS",0,0,0,0,2,"Not PBL","Not PBL",199975,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000199975,0.000203082157002133,5.30097570546053,TRUE,6.62179045115547e-08,1.15249931290129e-07,0,2,"No history [0-3]",9.36571284492696e-08
"99790",2013-09-30,"Other","DLA","Defense","7435","OFFICE INFORMATION SYSTEM EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",21936.4297,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,2.19364297e-05,2.22772719610034e-05,4.34116594467151,TRUE,7.26383001474701e-09,1.26424403834266e-08,0,2,"No history [0-3]",1.02737992955683e-08
"99911",2013-09-30,"Other","DLA","Defense","8145","SPECIAL SHIPPING & STORAGE CONTAIN",0,0,0,0,2,"Not PBL","Not PBL",35071929.6684,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0350719296684,0.0356168677448969,7.54495966155538,TRUE,1.16134001241059e-05,2.02127140117281e-05,0,2,"No history [0-3]",1.64257343263762e-05
"99916",2013-09-30,"Other","DLA","Defense","9310","PAPER AND PAPERBOARD",0,0,0,0,2,"Not PBL","Not PBL",1388435.9387,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0013884359387,0.00141000907758708,6.14252584655591,TRUE,4.597540613039e-07,8.00185755899089e-07,0,2,"No history [0-3]",6.50265898509354e-07
"99917",2013-09-30,"Other","DLA","Defense","9330","PLASTICS FABRICATED MATERIALS",0,0,0,0,2,"Not PBL","Not PBL",6269542.9489,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0062695429489,0.00636695739707525,6.79723588181865,TRUE,2.07603948654258e-06,3.61327362960988e-06,0,2,"No history [0-3]",2.93630398441475e-06
"99918",2013-09-30,"Other","DLA","Defense","9515","PLATE, SHEET, STRIP, FOIL, AND LEAF",0,0,0,0,2,"Not PBL","Not PBL",5520441.513,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.005520441513,0.00560621662739921,6.74197381305377,TRUE,1.82798884345272e-06,3.18155021909951e-06,0,2,"No history [0-3]",2.58546668273395e-06
"99919",2013-09-30,"Other","DLA","Defense","9930","MEMORIALS-CEMETERY & MORTUARY EQ",0,0,0,0,2,"Not PBL","Not PBL",341534.46,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00034153446,0.000346841129277953,5.53343452948992,TRUE,1.13092617875662e-07,1.96833719455988e-07,0,2,"No history [0-3]",1.59955678410161e-07
"100153",2013-09-30,"Other","DLA","Defense","9505","WIRE, NONELECTRICAL",0,0,0,0,2,"Not PBL","Not PBL",299470.2482,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002994702482,0.000304123335229004,5.47635368253706,TRUE,9.91638569789184e-08,1.72591201542632e-07,0,2,"No history [0-3]",1.40255149405686e-07
"100154",2013-09-30,"Other","DLA","Defense","9525","WIRE NONELECT NONFERROUS BASE METAL",0,0,0,0,2,"Not PBL","Not PBL",318704.0343,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0003187040343,0.00032365597065096,5.50338756100476,TRUE,1.05532758148392e-07,1.83676049781032e-07,0,2,"No history [0-3]",1.49263181286338e-07
"100155",2013-09-30,"Other","DLA","Defense","9540","STRUCTURAL SHAPES NONFERROUS METAL",0,0,0,0,2,"Not PBL","Not PBL",368292.1917,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0003682921917,0.000374014615314309,5.56619251131337,TRUE,1.21952930027963e-07,2.12254780788178e-07,0,2,"No history [0-3]",1.72487506462857e-07
"100156",2013-09-30,"Other","DLA","Defense","9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",0,0,0,0,2,"Not PBL","Not PBL",232467.6284,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002324676284,0.000236079646999086,5.36636248502785,TRUE,7.69772182493751e-08,1.33976138018648e-07,0,2,"No history [0-3]",1.08874862024532e-07
"100406",2014-09-30,"Other","DLA","Defense","3415","GRINDING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",7664517.8248,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00750363585022241,0.0076645178248,6.88448483856216,TRUE,2.4991280225785e-06,4.34964432976202e-06,0,2,"No history [0-3]",3.53471098109063e-06
"100407",2014-09-30,"Other","DLA","Defense","3416","LATHES",0,0,0,0,2,"Not PBL","Not PBL",4097523.9639,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00401151493355263,0.0040975239639,6.61252150217154,TRUE,1.33605755710231e-06,2.32536113595726e-06,0,2,"No history [0-3]",1.88969003420085e-06
"100408",2014-09-30,"Other","DLA","Defense","3439","MISC WELD SOLDER & BRAZING SUPPLY",0,0,0,0,2,"Not PBL","Not PBL",4170101.0365,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00408256857793237,0.0041701010365,6.62014657753079,TRUE,1.35972237204272e-06,2.36654891313013e-06,0,2,"No history [0-3]",1.92316102107292e-06
"100409",2014-09-30,"Other","DLA","Defense","3456","CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",252241.8183,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000246947139270376,0.0002522418183,5.40181708838848,TRUE,8.22471303465372e-08,1.4314823447176e-07,0,2,"No history [0-3]",1.16328508252708e-07
"100410",2014-09-30,"Other","DLA","Defense","3625","TEXTILE INDUSTRIES MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",168774.2402,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000165231586422961,0.0001687742402,5.22730616152716,TRUE,5.50313069673395e-08,9.57800521411116e-08,0,2,"No history [0-3]",7.78350541804285e-08
"100411",2014-09-30,"Other","DLA","Defense","3693","INDUSTRIAL ASSEMBLY MACHINES",0,0,0,0,2,"Not PBL","Not PBL",6055.0195,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,5.92792168177669e-06,6.0550195e-06,3.78211554611305,TRUE,1.9743275774956e-09,3.43624763315893e-09,0,2,"No history [0-3]",2.79244492694834e-09
"100412",2014-09-30,"Other","DLA","Defense","4030","FITTINGS FOR ROPE, CABLE, AND CHAIN",0,0,0,0,2,"Not PBL","Not PBL",5190933.4842,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00508197325370294,0.0051909334842,6.71524546393376,TRUE,1.69257970693594e-06,2.94587538470647e-06,0,2,"No history [0-3]",2.39394701769013e-06
"100413",2014-09-30,"Other","DLA","Defense","4520","SPACE AND WATER HEATING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",11783795.8561,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0115364482226697,0.0117837958561,7.07128521012978,TRUE,3.84227881120393e-06,6.68735098543476e-06,0,2,"No history [0-3]",5.43443352388235e-06
"100414",2014-09-30,"Other","DLA","Defense","4610","WATER PURIFICATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",4195997.1692,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00410792113815229,0.0041959971692,6.6228351865279,TRUE,1.36816618447637e-06,2.38124507136684e-06,0,2,"No history [0-3]",1.93510376120542e-06
"100416",2014-09-30,"Other","DLA","Defense","4935","GUIDED MISSILE MAINT EQ",0,0,0,0,2,"Not PBL","Not PBL",613953.0708,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000601065895822251,0.0006139530708,5.78813517591067,TRUE,2.00188369165211e-07,3.48420807960595e-07,0,2,"No history [0-3]",2.83141968071253e-07
"100418",2014-09-30,"Other","DLA","Defense","5130","HAND TOOLS, POWER DRIVEN",0,0,0,0,2,"Not PBL","Not PBL",1022754.8879,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00100128676301133,0.0010227548879,6.00977156373426,TRUE,3.33484174609081e-07,5.80417464030975e-07,0,2,"No history [0-3]",4.71672584741961e-07
"100419",2014-09-30,"Other","DLA","Defense","5306","BOLTS",0,0,0,0,2,"Not PBL","Not PBL",25440604.5605,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0249065938386647,0.0254406045605,7.40552742750191,TRUE,8.29528082807256e-06,1.4437644206951e-05,0,2,"No history [0-3]",1.17326603396516e-05
"100689",2014-09-30,"Other","DLA","Defense","6830","GASES: COMPRESSED AND LIQUEFIED",0,0,0,0,2,"Not PBL","Not PBL",8898375.5259,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00871159427522465,0.0088983755259,6.94931072973129,TRUE,2.90144535384177e-06,5.04986347935515e-06,0,2,"No history [0-3]",4.10373964863049e-06
"100690",2014-09-30,"Other","DLA","Defense","6840","PEST CONT AGENTS & DISINFECTANTS",0,0,0,0,2,"Not PBL","Not PBL",16118.9995,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.57806538235917e-05,1.61189995e-05,4.20733808181685,TRUE,5.25583530069355e-09,9.14759628449835e-09,0,2,"No history [0-3]",7.43373632095782e-09
"100789",2014-09-30,"Other","DLA","Defense","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",0,0,0,0,2,"Not PBL","Not PBL",24037691.7205,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0235331288247405,0.0240376917205,7.38089276111853,TRUE,7.83784059871663e-06,1.3641485594088e-05,0,2,"No history [0-3]",1.10856670734848e-05
"100797",2014-09-30,"Other","DLA","Defense","7105","HOUSEHOLD FURNITURE",0,0,0,0,2,"Not PBL","Not PBL",6698291.8253,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00655769140661948,0.0066982918253,6.82596406457689,TRUE,2.18407591797238e-06,3.80130723458363e-06,0,2,"No history [0-3]",3.08910830539498e-06
"100798",2014-09-30,"Other","DLA","Defense","7195","MISC FURNITURE & FIXTURES",0,0,0,0,2,"Not PBL","Not PBL",395282.9035,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000386985722191859,0.0003952829035,5.59690803094763,TRUE,1.28887766140569e-07,2.24324618868703e-07,0,2,"No history [0-3]",1.82295984114995e-07
"100799",2014-09-30,"Other","DLA","Defense","7220","FLOOR COVERINGS",0,0,0,0,2,"Not PBL","Not PBL",444978.7091,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000435638388547368,0.0004449787091,5.64833923178635,TRUE,1.45091809658833e-07,2.5252718607281e-07,0,2,"No history [0-3]",2.05214622153788e-07
"100800",2014-09-30,"Other","DLA","Defense","7230","DRAPERIES, AWNINGS, AND SHADES",0,0,0,0,2,"Not PBL","Not PBL",15631.5401,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.53034264346055e-05,1.56315401e-05,4.19400176906083,TRUE,5.09689204108399e-09,8.87096113749162e-09,0,2,"No history [0-3]",7.2089305166787e-09
"100801",2014-09-30,"Other","DLA","Defense","7240","HOUSEHOLD & COMM UTIL CONTAINERS",0,0,0,0,2,"Not PBL","Not PBL",157128.0996,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000153829904005298,0.0001571280996,5.19625385792328,TRUE,5.12339126636596e-08,8.91708210606524e-08,0,2,"No history [0-3]",7.24641043037192e-08
"100802",2014-09-30,"Other","DLA","Defense","7320","KITCHEN EQUIPMENT AND APPLIANCES",0,0,0,0,2,"Not PBL","Not PBL",3430638.4808,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00335862770263114,0.0034306384808,6.53537495470264,TRUE,1.11860980151444e-06,1.94690097362576e-06,0,2,"No history [0-3]",1.58213677460555e-06
"100803",2014-09-30,"Other","DLA","Defense","7530","STATIONERY AND RECORD FORMS",0,0,0,0,2,"Not PBL","Not PBL",190613.2703,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00018661220460904,0.0001906132703,5.28015313249037,TRUE,6.21522418201813e-08,1.08173788526537e-07,0,2,"No history [0-3]",8.79067457434725e-08
"100804",2014-09-30,"Other","DLA","Defense","7610","BOOKS AND PAMPHLETS",0,0,0,0,2,"Not PBL","Not PBL",672885.341,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000658761148872204,0.000672885341,5.82794106717593,TRUE,2.19404096919726e-07,3.81865105537413e-07,0,2,"No history [0-3]",3.10320265177239e-07
"100805",2014-09-30,"Other","DLA","Defense","8030","PRESERVATIVE AND SEALING COMPOUNDS",0,0,0,0,2,"Not PBL","Not PBL",9608714.5185,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00940702290524722,0.0096087145185,6.98266529038817,TRUE,3.13306176109869e-06,5.45298368104273e-06,0,2,"No history [0-3]",4.43133273339255e-06
"100808",2014-09-30,"Other","DLA","Defense","9340","GLASS FABRICATED MATERIALS",0,0,0,0,2,"Not PBL","Not PBL",1613018.7388,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00157916068723554,0.0016130187388,6.20763941271454,TRUE,5.2594832750415e-07,9.15394545540689e-07,0,2,"No history [0-3]",7.43889593457903e-07
"100809",2014-09-30,"Other","DLA","Defense","9510","BARS AND RODS",0,0,0,0,2,"Not PBL","Not PBL",834124.741,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000816616055073029,0.000834124741,5.92123100300819,TRUE,2.71978559148765e-07,4.73369105916266e-07,0,2,"No history [0-3]",3.8468041291156e-07
"100985",2014-09-30,"Other","DLA","Defense","6695","COMBINATION & MISC INSTRUMENTS",0,0,0,0,2,"Not PBL","Not PBL",15962905.9368,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0156278367405619,0.0159629059368,7.20311195452335,TRUE,5.20493871373866e-06,9.05901256695667e-06,0,2,"No history [0-3]",7.36174932261915e-06
"100986",2014-09-30,"Other","DLA","Defense","6750","PHOTOGRAPHIC SUPPLIES",0,0,0,0,2,"Not PBL","Not PBL",113812.7294,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000111423744592803,0.0001138127294,5.05619083850026,TRUE,3.71103033317175e-08,6.45891763063865e-08,0,2,"No history [0-3]",5.24879860147724e-08
"100987",2014-09-30,"Other","DLA","Defense","6810","CHEMICALS",0,0,0,0,2,"Not PBL","Not PBL",637476.3996,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000624095458455547,0.0006374763996,5.80446411112448,TRUE,2.07858494218373e-07,3.61770390552859e-07,0,2,"No history [0-3]",2.93990422014713e-07
