"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServicesCategory.Graph","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"26653",2013-09-30,"Fuels","Navy","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"27327",2014-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",24286.5,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,2.37767144968682e-05,2.42865e-05,4.38536493184056,TRUE,7.9189681735702e-09,1.37826852816435e-08,0,0,"No history [0-3]",1.14089905950414e-08
"27328",2014-09-30,"Fuels","Army","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"27929",2013-09-30,"Fuels","Air Force","Defense","9140","FUEL OILS",0,0,0,0,0,"Not PBL","Not PBL",0,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"28234",2014-09-30,"Fuels","Air Force","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"28553",2014-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"28879",2013-09-30,"Fuels","Air Force","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"28909",2013-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"28932",2014-09-30,"Fuels","Navy","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,0,"Not PBL","Not PBL",0,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29081",2013-09-30,"Fuels","Army","Defense","9140","FUEL OILS",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29498",2013-09-30,"Fuels","Air Force","Defense","9110","FUELS, SOLID",0,0,0,0,0,"Not PBL","Not PBL",0,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29550",2014-09-30,"Fuels","Army","Defense","9140","FUEL OILS",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29551",2014-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29552",2014-09-30,"Fuels","Army","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,0,"Not PBL","Not PBL",0,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"29851",2014-09-30,"Fuels","Air Force","Defense","9140","FUEL OILS",0,0,0,0,0,"Not PBL","Not PBL",0,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,0,"No history [0-3]",0
"34632",2014-09-30,"Fuels","Navy","Defense","9110","FUELS, SOLID",0,1,0,0,0,"Not PBL","Not PBL",273836,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000268088048544022,0.000273836,5.43749054231367,TRUE,8.9288228801094e-08,1.55403018416986e-07,0,2,"No history [0-3]",1.2863905250175e-07
"34711",2013-09-30,"Fuels","Navy","Defense","9110","FUELS, SOLID",0,1,0,0,0,"Not PBL","Not PBL",67410,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,6.741e-05,6.84573981923429e-05,4.82872432713879,TRUE,2.2321534907483e-08,3.88498455720344e-08,0,2,"No history [0-3]",3.21590106494325e-08
"89263",2013-09-30,"Fuels","Air Force","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",412542.8436,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0004125428436,0.000418952821773129,5.61546905778983,TRUE,1.36605688833254e-07,2.37757391569618e-07,0,2,"No history [0-3]",1.96810112752998e-07
"89264",2013-09-30,"Fuels","Air Force","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",76422.1991,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,7.64221991e-05,7.76096263836702e-05,4.883219530647,TRUE,2.53057526319131e-08,4.40437714480087e-08,0,2,"No history [0-3]",3.64584233008449e-08
"89265",2013-09-30,"Fuels","Air Force","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",259039.7578,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0002590397578,0.000263064646897532,5.41336642534779,TRUE,8.57760717424511e-08,1.49290232718398e-07,0,2,"No history [0-3]",1.23579028774909e-07
"90170",2013-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",269118.5579,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0002691185579,0.000273300048644257,5.42994364691155,TRUE,8.91134740308014e-08,1.55098863892354e-07,0,2,"No history [0-3]",1.2838728036591e-07
"90171",2013-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",1901053.4692,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0019010534692,0.00193059151944755,6.27899433204269,TRUE,6.29497572670811e-07,1.09561836081591e-06,0,2,"No history [0-3]",9.06927737147952e-07
