"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServicesCategory.Graph","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"91246",2013-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",9106254.1796,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0091062541796,0.00924774467309841,6.95933976844714,TRUE,3.01536226889711e-06,5.24813185902911e-06,0,2,"No history [0-3]",4.34428312028179e-06
"91247",2013-09-30,"Fuels","Army","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",61260.9712,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,6.12609712e-05,6.22128274601401e-05,4.78718387760698,TRUE,2.02854013812062e-08,3.53060268611904e-08,0,2,"No history [0-3]",2.92255188431298e-08
"91532",2013-09-30,"Fuels","DLA","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",247905.8606,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0002479058606,0.00025175775423987,5.39428679379547,TRUE,8.20892941871014e-08,1.42873526193625e-07,0,2,"No history [0-3]",1.18267426362441e-07
"91533",2013-09-30,"Fuels","DLA","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",-758576.3387,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,-0.0007585763387,-0.000770362890931248,NA,TRUE,-2.51188076313346e-07,-4.37184002567783e-07,0,2,"No history [0-3]",-3.6189088495269e-07
"92493",2013-09-30,"Fuels","DLA","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",4332657.9216,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0043326579216,0.00439997757855184,6.63675440132929,TRUE,1.43467697729086e-06,2.49700476443571e-06,0,2,"No history [0-3]",2.06696324345175e-06
"92494",2013-09-30,"Fuels","DLA","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",1342492.8096,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0013424928096,0.00136335209667919,6.12791196829382,TRUE,4.4454087097658e-07,7.73707733786182e-07,0,2,"No history [0-3]",6.40457507205355e-07
"93238",2013-09-30,"Fuels","Navy","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",1751934.054,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.001751934054,0.00177915512744998,6.24351775450162,TRUE,5.80119524432119e-07,1.00967760644249e-06,0,2,"No history [0-3]",8.35787952821384e-07
"93239",2013-09-30,"Fuels","Navy","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",12733.0003,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,1.27330003e-05,1.29308421854372e-05,4.10493074931008,TRUE,4.21629002630828e-09,7.338304336503e-09,0,2,"No history [0-3]",6.07447993245701e-09
"94503",2014-09-30,"Fuels","Air Force","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",72038.3095,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,7.05261901804923e-05,7.20383095e-05,4.85756351281718,TRUE,2.34891433598213e-08,4.08820269721915e-08,0,2,"No history [0-3]",3.38412037785675e-08
"94504",2014-09-30,"Fuels","Air Force","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",180335.4201,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000176550091507236,0.0001803354201,5.25608103589155,TRUE,5.88009985934289e-08,1.02341067686627e-07,0,2,"No history [0-3]",8.47155873375635e-08
"95120",2014-09-30,"Fuels","Army","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",43423942.6182,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.0425124528425803,0.0434239426182,7.63772925208927,TRUE,1.41590109552412e-05,2.46432600331376e-05,0,2,"No history [0-3]",2.03991251489783e-05
"95121",2014-09-30,"Fuels","Army","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",38033.4306,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,3.72350903058345e-05,3.80334306e-05,4.58016550036435,TRUE,1.24013557512647e-08,2.15841230371206e-08,0,2,"No history [0-3]",1.78668417438725e-08
"96363",2013-09-30,"Fuels","Air Force","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",498628.7697,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0004986287697,0.000506376327510917,5.69777733265451,TRUE,1.6511140021857e-07,2.87370578558352e-07,0,2,"No history [0-3]",2.37878770433107e-07
"96364",2013-09-30,"Fuels","Air Force","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",9999.4297,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,9.9994297e-06,1.01547981110998e-05,3.99997523147942,TRUE,3.31112029525993e-09,5.76288829036365e-09,0,2,"No history [0-3]",4.77038668165779e-09
"97586",2014-09-30,"Fuels","DLA","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",298778.3613,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000292506857491702,0.0002987783613,5.47534914097368,TRUE,9.74210501342786e-08,1.69557907593234e-07,0,2,"No history [0-3]",1.40356144939517e-07
"98607",2013-09-30,"Fuels","Other DoD","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",13576.04,"Other DoD","Other DoD","Additional
DoD
Components",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,1.357604e-05,1.3786980806337e-05,4.13277310890255,TRUE,4.49544653264182e-09,7.82416640676104e-09,0,2,"No history [0-3]",6.47666540479338e-09
"98964",2014-09-30,"Fuels","Air Force","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",1147702.5036,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00112361166719939,0.0011477025036,6.05982932901266,TRUE,3.74225170310058e-07,6.51325732570487e-07,0,2,"No history [0-3]",5.39152494986015e-07
"98965",2014-09-30,"Fuels","Air Force","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",556472.958,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000544792318678843,0.000556472958,5.74544406448972,TRUE,1.81446138548348e-07,3.15800615480173e-07,0,2,"No history [0-3]",2.61412502592669e-07
"99078",2013-09-30,"Fuels","Navy","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",489105.14,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.00048910514,0.000496704722250432,5.68940222684072,TRUE,1.61957832012155e-07,2.8188190413126e-07,0,2,"No history [0-3]",2.33335371694885e-07
"99079",2013-09-30,"Fuels","Navy","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",714853.9563,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0007148539563,0.000725961162079821,5.85421732508569,TRUE,2.36710243870386e-07,4.11985844960878e-07,0,2,"No history [0-3]",3.41032428325777e-07
"99364",2014-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",280188.3194,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000274307029655616,0.0002801883194,5.44745002628929,TRUE,9.13594953548153e-08,1.59007984925074e-07,0,2,"No history [0-3]",1.31623161051409e-07
"99365",2014-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",2297496.9208,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00224927133771006,0.0022974969208,6.36125493799919,TRUE,7.49132439614219e-07,1.30383863442371e-06,0,2,"No history [0-3]",1.07928770146146e-06
"99744",2014-09-30,"Fuels","Air Force","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",1031422.1458,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00100977209093257,0.0010314221458,6.01343645196451,TRUE,3.36310260684153e-07,5.85336167339008e-07,0,2,"No history [0-3]",4.84527847196986e-07
"99745",2014-09-30,"Fuels","Air Force","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",3503.2,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,3.42966612008435e-06,3.5032e-06,3.54446493218407,TRUE,1.14226954504153e-09,1.9880799241823e-09,0,2,"No history [0-3]",1.64568693935104e-09
"99809",2013-09-30,"Fuels","MilitaryHealth","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",1825000,"Other DoD","Other DoD","Military
Health",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.001825,0.00185335635218848,6.26126286879249,TRUE,6.04313917907675e-07,1.05178709640948e-06,0,2,"No history [0-3]",8.70645222299575e-07
"100414",2014-09-30,"Fuels","Other DoD","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",0,"Other DoD","Other DoD","Additional
DoD
Components",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0,0,0,TRUE,0,0,0,2,"No history [0-3]",0
"101284",2013-09-30,"Fuels","Air Force","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",-14696.6899,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,-1.46966899e-05,-1.49250430587996e-05,NA,TRUE,-4.86652835821543e-09,-8.47002125849395e-09,0,2,"No history [0-3]",-7.01128923016625e-09
"101752",2014-09-30,"Fuels","DLA","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",274524.5904,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000268762185095031,0.0002745245904,5.43858125223496,TRUE,8.95127537619663e-08,1.55793796205929e-07,0,2,"No history [0-3]",1.28962529387981e-07
"101753",2014-09-30,"Fuels","DLA","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",139798622.1174,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.136864180723488,0.1397986221174,8.14550289093928,TRUE,4.55833833305193e-05,7.93362737097372e-05,0,2,"No history [0-3]",6.56727467908987e-05
"101754",2014-09-30,"Fuels","DLA","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",0,0,0,0,2,"Not PBL","Not PBL",137655.8698,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.000134766405824333,0.0001376558698,5.13879473492585,TRUE,4.48847076298076e-08,7.81202532528069e-08,0,2,"No history [0-3]",6.466615296154e-08
"102101",2014-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",5651565.5919,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00553293646836432,0.0056515655919,6.75216877237481,TRUE,1.84277553591915e-06,3.20728593670241e-06,0,2,"No history [0-3]",2.65491769852579e-06
"102102",2014-09-30,"Fuels","Army","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",28956.9702,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,2.83491492450423e-05,2.89569702e-05,4.46175311918751,TRUE,9.44184322223542e-09,1.64331956838791e-08,0,2,"No history [0-3]",1.36030222828606e-08
"102110",2013-09-30,"Fuels","Army","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",398725534.7552,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.3987255347552,0.404920823352493,8.60067404917676,TRUE,0.000132030350727533,0.00022979417669287,0,2,"No history [0-3]",0.000190218346215593
"102111",2013-09-30,"Fuels","Army","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",781041.1122,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0007810411122,0.000793176715954098,5.89267389473732,TRUE,2.58626857293452e-07,4.50130938946447e-07,0,2,"No history [0-3]",3.7260806178437e-07
"103160",2014-09-30,"Fuels","Navy","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",2475957.9357,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00242398636869841,0.0024759579357,6.39374326213784,TRUE,8.07322261005368e-07,1.40511596970913e-06,0,2,"No history [0-3]",1.16312275552753e-06
"103161",2014-09-30,"Fuels","Navy","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",2003.04,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,1.96099521157049e-06,2.00304e-06,3.3016896220873,TRUE,6.53120458295269e-10,1.13673316149067e-09,0,2,"No history [0-3]",9.40961625655887e-10
"103625",2013-09-30,"Fuels","DLA","Defense","9140","FUEL OILS",0,0,0,0,2,"Not PBL","Not PBL",36875627.2318,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0368756272318,0.0374485906690363,7.56673941613179,TRUE,1.22106601467134e-05,2.12522240517332e-05,0,2,"No history [0-3]",1.75921033800914e-05
"103626",2013-09-30,"Fuels","DLA","Defense","9160","MISCELLANEOUS WAXES, OILS, AND FATS",0,0,0,0,2,"Not PBL","Not PBL",740395.1804,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0007403951804,0.00075189923875292,5.86946358305156,TRUE,2.45167732749306e-07,4.26705806569033e-07,0,2,"No history [0-3]",3.53217274755557e-07
"103744",2014-09-30,"Fuels","DLA","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",2217210.8724,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels",TRUE,1.021440536,1.04203691,1.066177113,1.2196,1,0.00217067053269952,0.0022172108724,6.34580699954867,TRUE,7.22954000478843e-07,1.25827598284345e-06,0,2,"No history [0-3]",1.04157198404196e-06
"104214",2013-09-30,"Fuels","Other DoD","Defense","9110","FUELS, SOLID",0,0,0,0,2,"Not PBL","Not PBL",3847.5,"Other DoD","Other DoD","Additional
DoD
Components",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,3.8475e-06,3.90728140550421e-06,3.58517862850352,TRUE,1.27402619131495e-09,2.21739772790984e-09,0,2,"No history [0-3]",1.8355109549576e-09
"105849",2013-09-30,"Fuels","Navy","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",0,0,0,0,2,"Not PBL","Not PBL",2755323.5739,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,0.0027553235739,0.00279813504001219,6.44017260794552,TRUE,9.12372813176377e-07,1.58795275696485e-06,0,2,"No history [0-3]",1.31447085233174e-06
"105850",2013-09-30,"Fuels","Navy","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",0,0,0,0,2,"Not PBL","Not PBL",45221.5586,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels",TRUE,1,1.020164046,1.043797535,1.194,0.9847,4.52215586e-05,4.5924198842287e-05,4.65534552660099,TRUE,1.49742560281959e-08,2.60621653780849e-08,0,2,"No history [0-3]",2.15736624328933e-08
